eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.0076911094884053455,0.13911132514476776,0.14663085341453552,0.123779296875,0.119384765625,0.120849609375,0.13300780951976776,0.13925781846046448,0.130126953125,0.13344725966453552,0.1279296875,0.13168945908546448,0.12407226860523224,0.13227538764476776,0.134765625,0.12680664658546448,0.11738280951976776,0.1300323486328125,0.014749581905380182,0.3027646174537949,10.0,136.19554738998414,1,0.0003,1000.0,-518.9943273210756,2,-0.005627542220736359,14.424285665154457,5.146835088729858
,,4096,0.01317005885484832,0.24257811903953552,0.23422852158546448,0.14267578721046448,0.12436523288488388,0.14028319716453552,0.15034179389476776,0.14545898139476776,0.13461914658546448,0.23945312201976776,0.21982422471046448,0.20869140326976776,0.2060546875,0.20517578721046448,0.19150391221046448,0.16083984076976776,0.14833983778953552,0.180902099609375,0.020503268597531134,0.44345056982710956,10.0,136.6403486251831,2,0.0002993852459016393,1000.0,-424.8493979174718,2,-0.005694338475586846,13.609917888045311,10.240592002868652
,,6144,0.035246244760855916,0.4056640565395355,0.401123046875,0.18833008408546448,0.19082030653953552,0.190185546875,0.19443359971046448,0.19648437201976776,0.20224609971046448,0.3788085877895355,0.3616699278354645,0.350830078125,0.3277831971645355,0.3255859315395355,0.3028808534145355,0.27104490995407104,0.22031250596046448,0.2817626953125,0.02917481484473683,0.7144150372594595,10.0,136.9551938533783,3,0.00029877049180327867,1000.0,-521.0147411141886,2,-0.011773849203018471,9.451035983115435,15.362761974334717
,,8192,0.01953753465513728,0.3582519590854645,0.3409667909145355,0.13398437201976776,0.13134765625,0.13105468451976776,0.12368164211511612,0.127685546875,0.11386718600988388,0.3395019471645355,0.30366212129592896,0.2882324159145355,0.27958983182907104,0.26850587129592896,0.2333984375,0.20454101264476776,0.16020508110523224,0.22115478515625,0.025063102692365648,0.5981547930277884,10.0,136.36535329818724,4,0.000298155737704918,1000.0,-430.3870564125499,2,-0.007925813527253921,11.835858246684074,20.5050630569458
,,10240,0.016167101546488993,0.27299803495407104,0.29414063692092896,0.15883788466453552,0.14077147841453552,0.14956054091453552,0.14531250298023224,0.14614257216453552,0.15253905951976776,0.28984373807907104,0.28759765625,0.27314454317092896,0.251708984375,0.24863281846046448,0.23833008110523224,0.19882813096046448,0.16591796278953552,0.2133941650390625,0.02256994553026743,0.5314341277815402,10.0,136.31697068214416,5,0.00029754098360655737,1000.0,-358.6664126606643,2,-0.005588652550068218,25.6929601341486,25.656316995620728
-477.5355034141855,19.1626975681016,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.96259903907776
nan,nan,12288,0.008292100024118555,0.24956054985523224,0.2686523497104645,0.08173827826976776,0.07680664211511612,0.08754882961511612,0.08574219048023224,0.08681640774011612,0.08247070014476776,0.23564453423023224,0.22856445610523224,0.19936522841453552,0.21083983778953552,0.18491211533546448,0.16259765625,0.13168945908546448,0.103515625,0.154779052734375,0.016893379643443042,0.3967138000763953,10.0,136.51583800315856,6,0.0002969262295081967,1000.0,-480.6987752582319,2,-0.006604129853076302,27.360213682055473,41.13626503944397
nan,nan,14336,0.005536724883313582,0.18681640923023224,0.18779297173023224,0.07685546576976776,0.07636718451976776,0.076416015625,0.07470703125,0.07290039211511612,0.07973632961511612,0.20297852158546448,0.18881836533546448,0.164306640625,0.14448241889476776,0.14780274033546448,0.14003905653953552,0.12226562201976776,0.08627929538488388,0.1267852783203125,0.013098373485263437,0.27574145551770923,10.0,136.0779408454895,7,0.00029631147540983607,1000.0,-546.2568515160652,2,-0.006171863008785294,30.781257772445677,46.34790301322937
nan,nan,16384,0.008164383780786011,0.20302733778953552,0.21284179389476776,0.10810546576976776,0.10419921576976776,0.09990234673023224,0.09511718899011612,0.10844726860523224,0.112060546875,0.20537109673023224,0.19492188096046448,0.19106444716453552,0.19121094048023224,0.17578125,0.163818359375,0.14536133408546448,0.12080077826976776,0.152001953125,0.013724857385386712,0.2961594356223941,10.0,136.43970770835875,8,0.00029569672131147536,1000.0,-604.1238285204931,2,-0.006707069795447751,23.465613460540773,51.57569909095764
nan,nan,18432,0.013547576412020135,0.2728027403354645,0.26445311307907104,0.14565429091453552,0.134033203125,0.1376953125,0.12260742485523224,0.14291992783546448,0.138671875,0.282470703125,0.27045899629592896,0.25458985567092896,0.22651366889476776,0.21079102158546448,0.19770507514476776,0.17353515326976776,0.15190429985523224,0.1954254150390625,0.017286434356356038,0.38218769589439033,10.0,136.34821372032167,9,0.0002950819672131147,1000.0,-566.95981193285,2,-0.0068980867567006495,20.282244873046874,56.795267820358276
