eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.05083227225022711,0.21845702826976776,0.222412109375,0.15224608778953552,0.1279296875,0.13266602158546448,0.14125975966453552,0.144775390625,0.12900391221046448,0.21303710341453552,0.20615234971046448,0.19536133110523224,0.19301757216453552,0.19912108778953552,0.19321289658546448,0.17270508408546448,0.149169921875,0.174407958984375,0.04080521611267614,0.8375786368385889,10.0,136.86234855651855,1,0.0003,1000.0,-518.9943273210756,2,-0.03269985372417068,14.424582700431348,5.301573753356934
,,4096,0.05969756246195175,0.2745117247104645,0.2877441346645355,0.12973633408546448,0.125244140625,0.11440429836511612,0.12314452975988388,0.10927734524011612,0.11323241889476776,0.27788084745407104,0.2769531309604645,0.27656251192092896,0.26225584745407104,0.25639647245407104,0.23979492485523224,0.1962890625,0.1533203125,0.2010467529296875,0.046261328092077746,1.032172099594027,10.0,137.39959630966186,2,0.0002993852459016393,1000.0,-439.77350492331936,2,-0.030041180035914293,10.230882874876261,10.27295184135437
,,6144,0.05062293213286466,0.24599608778953552,0.2601562440395355,0.09941406548023224,0.08686523139476776,0.08261718600988388,0.07978515326976776,0.07431640475988388,0.07402344048023224,0.25190430879592896,0.2520507872104645,0.23442383110523224,0.24555663764476776,0.23095703125,0.20771484076976776,0.15903320908546448,0.125732421875,0.1694091796875,0.046320691052824256,0.9601463390514254,10.0,137.1464988708496,3,0.00029877049180327867,1000.0,-494.0893784408422,2,-0.027079801520449108,16.227045449614526,15.284933805465698
,,8192,0.0581763405845777,0.2784179747104645,0.2828125059604645,0.12529297173023224,0.13291016221046448,0.12314452975988388,0.111083984375,0.09648437798023224,0.081787109375,0.28251951932907104,0.27265626192092896,0.2884277403354645,0.28154295682907104,0.25727540254592896,0.23012694716453552,0.19047851860523224,0.15449218451976776,0.1993408203125,0.048023287340765816,1.0324621677398682,10.0,136.90040163993837,4,0.000298155737704918,1000.0,-306.3302184885903,2,-0.033404099545441567,14.962860561907291,20.392773866653442
,,10240,0.05443530167158315,0.30488282442092896,0.3203125,0.09521484375,0.09555663913488388,0.09335937350988388,0.076416015625,0.06679687649011612,0.06669922173023224,0.27812498807907104,0.27568358182907104,0.278076171875,0.27485352754592896,0.24252930283546448,0.21152344346046448,0.16279296576976776,0.13413086533546448,0.1860595703125,0.04897446859395131,0.9999597173184156,10.0,136.91456680297853,5,0.00029754098360655737,1000.0,-265.43414264572937,2,-0.031247041426831858,15.111357694864273,25.380205869674683
-527.2290404718777,7.147613321195784,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.20987796783447
nan,nan,12288,0.06389293976135377,0.367431640625,0.3499999940395355,0.0947265625,0.10356445610523224,0.091064453125,0.09023437649011612,0.07944335788488388,0.07421875,0.3447265625,0.3143066465854645,0.29155272245407104,0.2977539002895355,0.28471678495407104,0.24248047173023224,0.182373046875,0.12861327826976776,0.208575439453125,0.05144737297669053,1.1213316928595305,10.0,137.3843044757843,6,0.0002969262295081967,1000.0,-684.9894114679682,2,-0.038043243176070975,16.30177117139101,41.40010690689087
nan,nan,14336,0.06395377659719088,0.34453123807907104,0.35527342557907104,0.110595703125,0.103271484375,0.10292968899011612,0.09946288913488388,0.09086914360523224,0.09506835788488388,0.34892576932907104,0.31782227754592896,0.30292969942092896,0.2859863340854645,0.26445311307907104,0.233642578125,0.181640625,0.13623046875,0.21085205078125,0.0521378664765507,1.1340102611109615,10.0,136.98572459220887,7,0.00029631147540983607,1000.0,-604.4153716811385,2,-0.041746989078819755,14.827497932314873,46.51273274421692
nan,nan,16384,0.07408602525720198,0.4168457090854645,0.3993164002895355,0.11821289360523224,0.10185547173023224,0.09438476711511612,0.09101562201976776,0.08540038764476776,0.08774413913488388,0.3724121153354645,0.36738282442092896,0.37309569120407104,0.341064453125,0.283935546875,0.25214844942092896,0.19492188096046448,0.15361328423023224,0.2333343505859375,0.05374297491507605,1.2882510982453823,10.0,137.4480764389038,8,0.00029569672131147536,1000.0,-485.6414054033586,2,-0.04416423626244068,10.46207188218832,51.82354402542114
nan,nan,18432,0.06222774665675388,0.3890624940395355,0.36625975370407104,0.11279296875,0.098388671875,0.10244140774011612,0.09511718899011612,0.084716796875,0.087646484375,0.33154296875,0.31694334745407104,0.28300780057907104,0.2708984315395355,0.2508789002895355,0.20688477158546448,0.16206054389476776,0.12373046576976776,0.2051483154296875,0.051636988937389106,1.1425638988614082,10.0,137.09561190605163,9,0.0002950819672131147,1000.0,-408.7882367991243,2,-0.0371657898707781,10.235316890478135,56.95701193809509
