eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.011427824379097729,0.02358398400247097,0.02485351637005806,0.03413086012005806,0.03461914137005806,0.03603515774011612,0.031494140625,0.0302734375,0.03530273586511612,0.02299804612994194,0.02460937574505806,0.02568359300494194,0.02749023400247097,0.02900390699505806,0.03115234337747097,0.03134765475988388,0.03208007663488388,0.0296661376953125,136.27679734230043,1,0.0003,1000.0,-471.98466287526946,2,-0.005158978735562414,26.11860545873642,4.703339099884033
,,4096,0.042335467418888585,0.08505859225988388,0.07988281548023224,0.09555663913488388,0.09946288913488388,0.09799804538488388,0.09482421725988388,0.10639648139476776,0.10224609076976776,0.08486328274011612,0.09208984673023224,0.09682617336511612,0.08730468899011612,0.0927734375,0.09218750149011612,0.09228515625,0.09394530951976776,0.0933563232421875,136.89058198928834,2,0.0002993852459016393,1000.0,-555.4768630065057,2,-0.00816778592125047,18.1049669072032,9.268720865249634
,,6144,3.3244396656386015,0.515917956829071,0.5189453363418579,0.5135253667831421,0.5146484375,0.5223144292831421,0.5203613042831421,0.5232909917831421,0.5267578363418579,0.516357421875,0.5177246332168579,0.5196288824081421,0.510986328125,0.511914074420929,0.525634765625,0.5193847417831421,0.5201660394668579,0.518597412109375,218.61055927276612,3,0.00029877049180327867,1000.0,-397.52163605518507,2,0.021742149410420096,22.509437349438667,13.636687994003296
,,8192,5.290209388887888,0.6832031011581421,0.67236328125,0.689208984375,0.696728527545929,0.6915527582168579,0.693164050579071,0.6998046636581421,0.6971191167831421,0.664501965045929,0.66455078125,0.673291027545929,0.6688476800918579,0.6766113042831421,0.680859386920929,0.685107409954071,0.680126965045929,0.6823150634765625,265.1954801082611,4,0.000298155737704918,1000.0,-373.52057858198043,2,-0.026627714428468608,10.344683434069157,18.229238986968994
,,10240,17.678221595910145,0.9678710699081421,0.96923828125,0.978271484375,0.9775390625,0.978271484375,0.979296863079071,0.979296863079071,0.981152355670929,0.967724621295929,0.9683593511581421,0.970947265625,0.972119152545929,0.973095715045929,0.973876953125,0.976025402545929,0.977343738079071,0.97440185546875,3820.4781042099,5,0.00029754098360655737,1000.0,-369.1608065474293,2,0.1485074156371411,5.86162693053484,22.977581024169922
-173.02735651580792,36.173987576804514,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.52859711647034
nan,nan,12288,9.832054613216314,0.8287109136581421,0.8284667730331421,0.816845715045929,0.8101562261581421,0.813916027545929,0.8199218511581421,0.821093738079071,0.823437511920929,0.820996105670929,0.8233886957168579,0.8165527582168579,0.8118652105331421,0.810107409954071,0.809814453125,0.813037097454071,0.8099120855331421,0.817388916015625,547.4583009719848,6,0.0002969262295081967,1000.0,-369.7313914279857,2,-0.015624310955172405,12.6645966142416,39.1360809803009
nan,nan,14336,8.82683156703788,0.8673340082168579,0.866259753704071,0.8700195550918579,0.879638671875,0.880664050579071,0.887402355670929,0.888964831829071,0.895556628704071,0.8663085699081421,0.8553222417831421,0.848388671875,0.8487793207168579,0.8505859375,0.8505859375,0.859375,0.866943359375,0.867633056640625,502.50014929771424,7,0.00029631147540983607,1000.0,-328.604906155863,2,0.07511171979131177,8.814620888233184,44.001413106918335
nan,nan,16384,8.90004153739792,0.612109363079071,0.6092773675918579,0.711718738079071,0.7198241949081421,0.736328125,0.7405761480331421,0.754150390625,0.7601073980331421,0.6099609136581421,0.621044933795929,0.6368652582168579,0.649462878704071,0.656542956829071,0.677783191204071,0.694775402545929,0.70361328125,0.6808837890625,1095.7080801486968,8,0.00029569672131147536,1000.0,220.11013134273037,2,-0.024394134790054523,10.970732647180558,48.559662103652954
nan,nan,18432,14.889255840313854,0.8936523199081421,0.892626941204071,0.9292968511581421,0.9337402582168579,0.9400879144668579,0.9459472894668579,0.94921875,0.9554198980331421,0.8963378667831421,0.9000488519668579,0.8982909917831421,0.904589831829071,0.9068847894668579,0.915722668170929,0.9180663824081421,0.923583984375,0.9189697265625,1639.2937224388122,9,0.0002950819672131147,1000.0,302.45595903162814,2,0.17817452329909428,7.7690374732017515,53.1292028427124
