eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.009611774328186584,0.01694335974752903,0.01875000074505806,0.02622070349752903,0.02817382849752903,0.02924804762005806,0.02480468712747097,0.02431640587747097,0.0283203125,0.01704101637005806,0.018310546875,0.01840820349752903,0.02041015587747097,0.02080078050494194,0.02451171912252903,0.02387695387005806,0.02460937574505806,0.022796630859375,136.24986662864686,1,0.0003,1000.0,-471.98466287526946,2,-0.005637773920898326,26.118603834509848,4.396839141845703
,,4096,0.016449864249261738,0.03046875074505806,0.03110351599752903,0.043701171875,0.04833984375,0.04594726487994194,0.0419921875,0.04741210862994194,0.04721679538488388,0.02729492262005806,0.03310547024011612,0.03237304836511612,0.03125,0.04111327975988388,0.03437500074505806,0.04194336012005806,0.03969726711511612,0.0385833740234375,136.42830786705017,2,0.0002993852459016393,1000.0,-517.4624067287983,2,-0.008475681804702618,23.38717095553875,8.51908826828003
,,6144,2.7658330901818773,0.3057617247104645,0.30756837129592896,0.303955078125,0.3030761778354645,0.3067871034145355,0.30903321504592896,0.305908203125,0.30815428495407104,0.3062500059604645,0.30634766817092896,0.3038574159145355,0.30488282442092896,0.3062988221645355,0.31279295682907104,0.308349609375,0.3035644590854645,0.3064117431640625,292.2719135284424,3,0.00029877049180327867,1000.0,-561.9576960062466,2,-0.01831450873578433,19.677895183861256,12.74189805984497
,,8192,6.536862851316255,0.5400390625,0.5465332269668579,0.546826183795929,0.5418456792831421,0.54443359375,0.5499023199081421,0.552929699420929,0.5574706792831421,0.5470215082168579,0.541455090045929,0.541943371295929,0.5470215082168579,0.540966808795929,0.551513671875,0.5467773675918579,0.545703113079071,0.54639892578125,579.8250951766968,4,0.000298155737704918,1000.0,-474.343212693989,2,0.01935813485761173,16.360521039366724,16.87880229949951
,,10240,12.303001896501518,0.8934081792831421,0.897216796875,0.934374988079071,0.9358886480331421,0.9462890625,0.9454101324081421,0.954882800579071,0.9576171636581421,0.897656261920929,0.8994140625,0.8980468511581421,0.9002441167831421,0.909375011920929,0.918701171875,0.921337902545929,0.9258788824081421,0.92098388671875,1314.009290122986,5,0.00029754098360655737,1000.0,-594.3648978308836,2,0.04375565703667235,5.175829080864787,21.104302167892456
-303.4921223247927,18.070548322228014,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.82740831375122
nan,nan,12288,2.229355882073287,0.3865722715854645,0.38959962129592896,0.45502930879592896,0.4727539122104645,0.4940429627895355,0.5123046636581421,0.531054675579071,0.546923816204071,0.37109375,0.3636718690395355,0.36308592557907104,0.3795410096645355,0.3937011659145355,0.4159179627895355,0.4200195372104645,0.44047850370407104,0.4334869384765625,184.53620262145995,6,0.0002969262295081967,1000.0,-478.1575133569336,2,0.0072604037151904775,13.7862479865551,35.96924805641174
nan,nan,14336,4.280028387206039,0.36372071504592896,0.35893553495407104,0.33745115995407104,0.34086912870407104,0.338134765625,0.34589844942092896,0.3455566465854645,0.35493165254592896,0.357421875,0.35126954317092896,0.346923828125,0.3421874940395355,0.3465332090854645,0.33989256620407104,0.33867186307907104,0.34345704317092896,0.346990966796875,797.4748438835144,7,0.00029631147540983607,1000.0,-548.6111529679756,2,-0.026161739055532963,16.99440489411354,40.212236166000366
nan,nan,16384,2.89800580880983,0.35786134004592896,0.3616699278354645,0.3685546815395355,0.37944334745407104,0.3863769471645355,0.3875976502895355,0.3985351622104645,0.3992675840854645,0.34785157442092896,0.34907227754592896,0.3389648497104645,0.3478027284145355,0.353759765625,0.35576170682907104,0.36542969942092896,0.3714843690395355,0.366839599609375,266.8383900642395,8,0.00029569672131147536,1000.0,-425.65018397780796,2,0.010774125647731125,19.465820586681367,44.44468021392822
nan,nan,18432,3.8498737477202667,0.3226562440395355,0.32573240995407104,0.32246094942092896,0.32768553495407104,0.3331542909145355,0.3304199278354645,0.3368164002895355,0.34101563692092896,0.3201660215854645,0.31523436307907104,0.312744140625,0.3153320252895355,0.31474608182907104,0.31914061307907104,0.326904296875,0.3202148377895355,0.3240264892578125,354.9620765686035,9,0.0002950819672131147,1000.0,-362.2499824725898,2,0.024489080463536084,12.302561365067959,48.73970007896423
