eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_10,train/weight_step_11,train/weight_step_12,train/weight_step_13,train/weight_step_14,train/weight_step_15,train/weight_step_2,train/weight_step_3,train/weight_step_4,train/weight_step_5,train/weight_step_6,train/weight_step_7,train/weight_step_8,train/weight_step_9,wall_time
,,2048,0.008117053069145185,0.01254882849752903,0.01352539099752903,0.01918945275247097,0.022705078125,0.02294921875,0.01787109300494194,0.01865234412252903,0.022216796875,0.012402343563735485,0.013378906063735485,0.012988281436264515,0.01552734337747097,0.015332031063735485,0.01840820349752903,0.01791992224752903,0.01801757887005806,0.01710205078125,136.22782373428345,1,0.0003,1000.0,-471.98466287526946,2,-0.006352902158687357,26.118602448701857,0.062207505106925964,0.060049064457416534,0.0618855319917202,0.06402746587991714,0.06365367770195007,0.062349315732717514,0.06210843473672867,0.06284208595752716,0.06104123592376709,0.06293819844722748,0.06238742917776108,0.062198836356401443,0.06377466022968292,0.06361312419176102,0.06206170469522476,0.06286177784204483,4.482316017150879
,,4096,0.015233082687336719,0.02978515625,0.02690429612994194,0.03862304612994194,0.04345703125,0.03779296949505806,0.03857421875,0.04409179836511612,0.04091797024011612,0.02680664137005806,0.033935546875,0.03398437425494194,0.02851562574505806,0.03452148288488388,0.03471679612994194,0.03525390475988388,0.033935546875,0.035113525390625,136.44641242027282,2,0.0002993852459016393,1000.0,-512.7968704292625,2,-0.011436990572838113,14.219318252801894,0.06164071708917618,0.059017643332481384,0.06109076365828514,0.06432918459177017,0.06357446312904358,0.06370136886835098,0.06277851015329361,0.06470339745283127,0.058640897274017334,0.0633048340678215,0.06271538883447647,0.06282272189855576,0.06415765732526779,0.06397030502557755,0.061959534883499146,0.06159263476729393,9.094139099121094
,,6144,0.012765187913282716,0.02016601525247097,0.01870117150247097,0.02812499925494194,0.02861328050494194,0.029052734375,0.03125,0.028076171875,0.02827148512005806,0.02216796949505806,0.02133789099752903,0.02153320237994194,0.02402343787252903,0.021728515625,0.02973632887005806,0.02509765699505806,0.025634765625,0.0252197265625,136.4413197994232,3,0.00029877049180327867,1000.0,-631.9315409869595,2,-0.010043116522138008,30.49640705883503,0.06196536123752594,0.05890442058444023,0.060789622366428375,0.06449101865291595,0.06365966796875,0.06368745863437653,0.06392916291952133,0.06506668776273727,0.05760280787944794,0.06296369433403015,0.06277532130479813,0.06238542124629021,0.06417735666036606,0.06399121880531311,0.06180090457201004,0.06180979683995247,13.658639192581177
,,8192,0.0200141901459574,0.04135742038488388,0.04277343675494194,0.05585937574505806,0.05385742336511612,0.062255859375,0.06044922024011612,0.05966796725988388,0.06005859375,0.04360351711511612,0.045654296875,0.04487304762005806,0.05527343600988388,0.05224609375,0.05810546875,0.05141601711511612,0.05141601711511612,0.05242919921875,136.54527769088745,4,0.000298155737704918,1000.0,-461.88981284785314,2,-0.015392456777044572,11.836773756146432,0.0617680586874485,0.059331368654966354,0.059376489371061325,0.06532071530818939,0.06639061123132706,0.0635429173707962,0.06531373411417007,0.06712187081575394,0.05623019114136696,0.06458743661642075,0.06177419051527977,0.06258076429367065,0.06159304082393646,0.06306032836437225,0.059435825794935226,0.06257246434688568,18.33852529525757
,,10240,0.018366109379348926,0.04633789137005806,0.03896484524011612,0.04746093600988388,0.05439453199505806,0.04843749850988388,0.05307617038488388,0.05205078050494194,0.04643554612994194,0.04477538913488388,0.040283203125,0.04975586012005806,0.049072265625,0.04770507663488388,0.043212890625,0.04848632961511612,0.04658203199505806,0.047314453125,136.53795084953308,5,0.00029754098360655737,1000.0,-386.43429316256754,2,-0.01380582241108641,13.307347398996352,0.06223941594362259,0.05995374172925949,0.059438612312078476,0.06548914313316345,0.06571929901838303,0.06396360695362091,0.06538665294647217,0.06772800534963608,0.056214600801467896,0.06574782729148865,0.06165660545229912,0.06261163204908371,0.06069263443350792,0.062077976763248444,0.0590229295194149,0.06205730512738228,22.978458166122437
-93.25918613284075,64.38638046385323,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.71510410308838
nan,nan,12288,0.01722474127072928,0.037353515625,0.03867187350988388,0.04267578199505806,0.04477538913488388,0.04853515699505806,0.04814453050494194,0.04833984375,0.04433593899011612,0.03334961086511612,0.03159179538488388,0.03886718675494194,0.03730468824505806,0.046875,0.04062499850988388,0.04252929612994194,0.04296875,0.0416839599609375,136.70871996879578,6,0.0002969262295081967,1000.0,-423.5541684762751,2,-0.013955610449193046,17.151565742492675,0.06195677071809769,0.059822533279657364,0.060313109308481216,0.0661042332649231,0.06709377467632294,0.06368287652730942,0.06484636664390564,0.06885110586881638,0.054899293929338455,0.06519024819135666,0.061130352318286896,0.06267533451318741,0.06094414368271828,0.06199604272842407,0.05849938094615936,0.06199446693062782,39.628072023391724
nan,nan,14336,0.01948209144102293,0.03842773288488388,0.03974609449505806,0.05327148362994194,0.05756836012005806,0.05424804612994194,0.05498046800494194,0.05947265774011612,0.05327148362994194,0.044921875,0.04521484300494194,0.04584961012005806,0.05439453199505806,0.05014648288488388,0.057373046875,0.05122070387005806,0.056640625,0.0510467529296875,136.31515908241272,7,0.00029631147540983607,1000.0,-424.1120338330748,2,-0.0154455760930432,11.338266721367836,0.06170037388801575,0.05888862907886505,0.06028591841459274,0.06578158587217331,0.06814981997013092,0.0627991333603859,0.06560861319303513,0.06854313611984253,0.054261792451143265,0.06559266149997711,0.06076962500810623,0.06318371742963791,0.06155018508434296,0.06226924806833267,0.05866527929902077,0.06195034459233284,44.52364897727966
nan,nan,16384,0.02823943674302427,0.0693359375,0.076904296875,0.08657226711511612,0.09609375149011612,0.08901367336511612,0.09038086235523224,0.08793945610523224,0.08808593451976776,0.06806640326976776,0.07851562649011612,0.07553710788488388,0.083740234375,0.09306640923023224,0.080322265625,0.083251953125,0.09135742485523224,0.083636474609375,136.68556189537048,8,0.00029569672131147536,1000.0,-414.0929017783527,2,-0.01965975454368163,11.672023089230061,0.060870300978422165,0.06002841144800186,0.05966969579458237,0.06673943251371384,0.06883230060338974,0.062383100390434265,0.06453536450862885,0.06714470684528351,0.05270497873425484,0.06533922255039215,0.06081950291991234,0.0651339516043663,0.062226951122283936,0.0634068176150322,0.05774623528122902,0.062418967485427856,49.21220517158508
nan,nan,18432,0.02072752360636514,0.04057617112994194,0.04306640475988388,0.06020507961511612,0.06489257514476776,0.06684570014476776,0.05996093899011612,0.06489257514476776,0.062744140625,0.04506836086511612,0.04707031324505806,0.05214843899011612,0.05029296875,0.05610351637005806,0.05478515475988388,0.05502929538488388,0.05659179762005806,0.05501708984375,136.6760657787323,9,0.0002950819672131147,1000.0,-318.17876941462407,2,-0.01712583252810873,17.9215984120965,0.06006509065628052,0.05896655470132828,0.060111504048109055,0.06694736331701279,0.06866054236888885,0.06328485906124115,0.06545004993677139,0.06729614734649658,0.05223763361573219,0.06549316644668579,0.0610504187643528,0.06535091251134872,0.06090173125267029,0.06411225348711014,0.05808516964316368,0.06198659539222717,53.815322160720825
nan,nan,20480,0.023695225065057456,0.05405273288488388,0.05302734300494194,0.07065429538488388,0.06884765625,0.08540038764476776,0.07529296725988388,0.07797851413488388,0.072509765625,0.05288086086511612,0.05781250074505806,0.06289062649011612,0.06362304836511612,0.06806640326976776,0.07045898586511612,0.06357421725988388,0.07094726711511612,0.0667510986328125,136.6118905544281,10,0.00029446721311475406,1000.0,-259.71276355211467,2,-0.018229055128176696,15.17444205135107,0.058910876512527466,0.05823744460940361,0.06014859303832054,0.06614409387111664,0.07013122737407684,0.06200416758656502,0.06663019210100174,0.06772857904434204,0.05151117593050003,0.06517791002988815,0.06096717342734337,0.06637314707040787,0.06070997193455696,0.06557761132717133,0.05823720619082451,0.06151069328188896,58.375611305236816
8.418839638803648,57.53352147132516,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.87031722068787
nan,nan,22528,0.026145116669249548,0.05996093899011612,0.06171875074505806,0.08310546725988388,0.09033203125,0.09013672173023224,0.08305664360523224,0.08925781399011612,0.08095703274011612,0.06181640550494194,0.06416015326976776,0.07177734375,0.07709960639476776,0.07441405951976776,0.07622070610523224,0.07465820014476776,0.07563476264476776,0.0758941650390625,136.90067467689514,11,0.0002938524590163934,1000.0,-293.3582392946047,2,-0.019535391018143854,12.828283634781837,0.05842079967260361,0.05694478750228882,0.05940745770931244,0.0678706243634224,0.06999776512384415,0.06190618872642517,0.066883385181427,0.0676213875412941,0.05119185149669647,0.06557782739400864,0.060361847281455994,0.06750692427158356,0.059739768505096436,0.06651825457811356,0.05788876488804817,0.06216235086321831,74.6987030506134
nan,nan,24576,0.025450216185708995,0.06362304836511612,0.06328125298023224,0.07583007961511612,0.086669921875,0.07509765774011612,0.08305664360523224,0.07963867485523224,0.07573242485523224,0.05795898288488388,0.0654296875,0.07016601413488388,0.07753906399011612,0.07338867336511612,0.0791015625,0.06752929836511612,0.07426758110523224,0.0730194091796875,136.69224071502686,12,0.00029323770491803276,1000.0,-348.29034017747813,2,-0.019876426851260474,15.941223302483559,0.05940084904432297,0.055528491735458374,0.05907421186566353,0.06760421395301819,0.06968554109334946,0.06324129551649094,0.06616701185703278,0.06718768924474716,0.05166514962911606,0.06606842577457428,0.06106090918183327,0.0671408474445343,0.05928502231836319,0.06637689471244812,0.05743131786584854,0.06308215856552124,79.3549211025238
nan,nan,26624,0.029753967110445957,0.0751953125,0.0771484375,0.09248046576976776,0.101318359375,0.09921874850988388,0.103271484375,0.09531249850988388,0.09833984076976776,0.07973632961511612,0.08041992038488388,0.08842773735523224,0.082763671875,0.08657226711511612,0.08710937201976776,0.08906249701976776,0.095458984375,0.08948974609375,136.4284701347351,13,0.0002926229508196721,1000.0,-314.64579590753954,2,-0.020146145520266147,9.145270082354546,0.057219281792640686,0.054552797228097916,0.058183349668979645,0.0688299760222435,0.06914903223514557,0.06223561242222786,0.06727518886327744,0.06920178979635239,0.050335053354501724,0.06837530434131622,0.0612340085208416,0.06844928860664368,0.05845681577920914,0.06683805584907532,0.05740615725517273,0.06225829944014549,84.0077531337738
