eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.03493885880889138,0.10678710788488388,0.114013671875,0.110400390625,0.005673434102573083,0.0155575345557736,10.0,17.152783811092377,1,0.0003,1000.0,-451.0770778958853,2,-0.03662887892278377,29.98391977250576,1.2877881526947021
,,4096,0.04322881198459072,0.13911132514476776,0.14291992783546448,0.141015625,0.004904478061507689,0.013031163324194494,10.0,17.00987226366997,2,0.0002993852459016393,1000.0,-401.0976060968278,2,-0.05139408671657293,21.41427012383938,2.6811320781707764
,,6144,0.06028367243270623,0.18364258110523224,0.19179686903953552,0.1877197265625,0.004687891901266994,0.012530596037686336,10.0,17.131373482942582,3,0.00029877049180327867,1000.0,-451.07742991863665,2,-0.06548934698039374,11.680104710161686,3.9970850944519043
,,8192,0.05770927673147526,0.18535156548023224,0.18471679091453552,0.1850341796875,0.005003308790765004,0.013512627850286663,10.0,17.108818972110747,4,0.000298155737704918,1000.0,-347.31530862213896,2,-0.06695734891090979,14.31364344060421,5.39317512512207
,,10240,0.060049675028130876,0.19111327826976776,0.19218750298023224,0.191650390625,0.004699254553997889,0.012491643791145179,10.0,17.178838473558425,5,0.00029754098360655737,1000.0,-382.861253694179,2,-0.07309097420184116,22.200478279590605,6.760803937911987
-248.18429558611055,40.54723774038803,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.779402017593384
nan,nan,12288,0.0716934431984555,0.22358398139476776,0.22084960341453552,0.222216796875,0.004816706303972751,0.013276367506477982,10.0,17.228337043523787,6,0.0002969262295081967,1000.0,-377.17736558324884,2,-0.07020934160900652,14.595177541673184,10.143281936645508
nan,nan,14336,0.08232259732758393,0.24736328423023224,0.24931640923023224,0.24833984375,0.004903275085962377,0.014082398865139113,10.0,17.259637784957885,7,0.00029631147540983607,1000.0,-371.2112799762223,2,-0.07445458488373333,13.221625654399395,11.56019902229309
nan,nan,16384,0.09881213567423401,0.2734375,0.29960936307907104,0.2865234375,0.004549808279261924,0.013075624727935064,10.0,17.223913329839707,8,0.00029569672131147536,1000.0,-323.6114874762841,2,-0.0773466253082006,10.429790028184652,12.90497899055481
nan,nan,18432,0.06367350709770107,0.19819335639476776,0.207763671875,0.202978515625,0.0045077949682308825,0.012831059786549304,10.0,17.17163035273552,9,0.0002950819672131147,1000.0,-335.5497291993082,2,-0.07648702523483734,20.670046493411064,14.310415029525757
nan,nan,20480,0.0852591183167533,0.24692383408546448,0.2552246153354645,0.25107421875,0.00421137549346895,0.011061777085706126,10.0,17.29008553028107,10,0.00029446721311475406,1000.0,-411.533395028677,2,-0.08798776018575154,12.205326271057128,15.668466091156006
-108.74718824614618,50.12281097860832,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.684519052505493
nan,nan,22528,0.08095698901597644,0.239501953125,0.24150390923023224,0.2405029296875,0.004564537336409558,0.012951529535348527,10.0,17.15594885349274,11,0.0002938524590163934,1000.0,-322.3464132212607,2,-0.07843542984737724,15.427536183595658,19.02041983604431
nan,nan,24576,0.0977279147671652,0.2760253846645355,0.2880859375,0.2820556640625,0.004076786388031906,0.011718882298737299,10.0,17.27784961462021,12,0.00029323770491803276,1000.0,-362.705582164922,2,-0.0879008216377315,15.475543473660945,20.42713189125061
nan,nan,26624,0.07832688736234558,0.22661133110523224,0.24746093153953552,0.2370361328125,0.004017242362897378,0.011194329959107564,10.0,17.134970706701278,13,0.0002926229508196721,1000.0,-349.6973635438692,2,-0.08284527892947154,15.930988989770412,21.809688806533813
nan,nan,28672,0.08441744759184075,0.25092774629592896,0.26762694120407104,0.25927734375,0.0040857846033759415,0.010915258442400955,10.0,17.25997154712677,14,0.00029200819672131145,1000.0,-156.69783660339465,2,-0.08543012667214497,16.939326067268848,23.307087898254395
nan,nan,30720,0.09994533761346247,0.2713378965854645,0.3037109375,0.2875244140625,0.0037699608321418053,0.01084521939046681,10.0,17.1563230574131,15,0.0002913934426229508,1000.0,-361.71402387236037,2,-0.08624660028817743,16.604431460797787,24.70382285118103
-116.80943341184532,78.20897564622305,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.78091812133789
nan,nan,32768,0.16897948873229324,0.36738282442092896,0.39897459745407104,0.3831787109375,0.00505655530068907,0.014368116803234443,10.0,17.33567171692848,16,0.00029077868852459015,1000.0,-255.9101212304348,2,-0.08165458335624862,10.941825462132693,28.219362020492554
nan,nan,34816,0.15719626854843227,0.361083984375,0.38310545682907104,0.3720947265625,0.005459598856396042,0.01604399131902028,10.0,17.329984897375105,17,0.00029016393442622945,1000.0,-362.515739439753,2,-0.08143243736139993,11.12906385809183,29.66146993637085
nan,nan,36864,0.08615641844080528,0.244384765625,0.26606446504592896,0.255224609375,0.00471900976554025,0.013805205837707035,10.0,17.284547597169876,18,0.00028954918032786885,1000.0,-281.5224112002962,2,-0.08704838413359539,16.00971865803003,31.12969708442688
nan,nan,38912,0.11624269981839461,0.29643553495407104,0.31596678495407104,0.306201171875,0.004196612550731516,0.012547813919081819,10.0,17.256066924333574,19,0.0002889344262295082,1000.0,-475.89076595850986,2,-0.08853193172544707,14.767643658816814,32.56845188140869
nan,nan,40960,0.09657710680621676,0.2613281309604645,0.2840332090854645,0.2726806640625,0.003942464594001649,0.011879000160843135,10.0,17.242426925897597,20,0.00028831967213114755,1000.0,-383.3771429608815,2,-0.08218493455196949,16.25959347486496,33.9756281375885
-189.31340432489623,56.48217389768329,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.087223052978516
nan,nan,43008,0.15149051958578638,0.3389648497104645,0.3849121034145355,0.3619384765625,0.004296778394200373,0.012780554228811525,10.0,17.432469922304154,21,0.00028770491803278684,1000.0,-290.50830697203554,3,-0.08719569228542241,13.87887940555811,37.443800926208496
nan,nan,45056,0.1383490024119965,0.3204589784145355,0.36005860567092896,0.3402587890625,0.004292174329020781,0.012984422003501094,10.0,17.34090103507042,22,0.0002870901639344262,1000.0,-335.9880883357147,2,-0.0808892011304124,11.216637483239174,38.84082007408142
nan,nan,47104,0.07948593702894868,0.22231444716453552,0.24770507216453552,0.235009765625,0.00415747720762738,0.011194972359226086,10.0,17.220973587036134,23,0.00028647540983606554,1000.0,-333.3986172618078,2,-0.08823719715892367,24.66453590989113,40.23111414909363
