eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.03874591264902847,0.11274413764476776,0.12924805283546448,0.12099609375,17.161996352672578,1,0.0003,1000.0,-420.6573934713083,2,-0.037364024264388715,15.849510622024535,1.2152938842773438
,,4096,0.0668054603971541,0.19316406548023224,0.21171875298023224,0.20244140625,17.161796045303344,2,0.0002993852459016393,1000.0,-387.33644859232027,2,-0.05057463963457849,6.740742774307728,2.4203457832336426
,,6144,0.033111981976253445,0.10048828274011612,0.10898437350988388,0.104736328125,17.051058399677277,3,0.00029877049180327867,1000.0,-342.40263868048476,2,-0.04732636113476474,24.084263435006143,3.9184937477111816
,,8192,0.06022834283794509,0.19155272841453552,0.18740233778953552,0.1894775390625,17.140507763624193,4,0.000298155737704918,1000.0,-295.78842941861495,2,-0.057594430743483825,15.683537800610065,5.137923002243042
,,10240,0.08926012851006818,0.252685546875,0.2650390565395355,0.2588623046875,17.161398422718047,5,0.00029754098360655737,1000.0,-360.67092993084555,2,-0.061400680351653136,11.025464996695518,6.367178916931152
-208.71903219661493,39.71540253545324,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.427016973495483
nan,nan,12288,0.07870284340606304,0.23569336533546448,0.24125976860523224,0.2384765625,17.18524361848831,6,0.0002969262295081967,1000.0,-418.2068546039533,2,-0.05959336237283423,12.154615984857083,9.622658014297485
nan,nan,14336,0.05433375948050525,0.17324218153953552,0.17807617783546448,0.1756591796875,17.13324440121651,7,0.00029631147540983607,1000.0,-277.9155655950955,2,-0.05289055907051079,16.922334909439087,11.126790761947632
nan,nan,16384,0.10222483315592398,0.2925781309604645,0.28618162870407104,0.2893798828125,17.17445668578148,8,0.00029569672131147536,1000.0,-337.5168725934778,2,-0.06237635746219894,13.1481583699584,12.384541749954224
nan,nan,18432,0.08810058511444367,0.2530761659145355,0.275634765625,0.26435546875,17.262636148929595,9,0.0002950819672131147,1000.0,-336.6005188424704,2,-0.05667752083390951,12.426159752905368,13.61249566078186
