eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.040867957440786994,0.1297119140625,34.191754412651065,1,0.0003,1000.0,-473.0056137991439,2,-0.039404314948478715,16.960999241471292,1.6463849544525146
,,4096,0.049837411468615755,0.17442626953125,34.06072542667389,2,0.0002993852459016393,1000.0,-443.8062815322637,2,-0.05298474892915692,16.194588017463683,3.2789108753204346
,,6144,0.03500599559047259,0.12467041015625,34.004907715320584,3,0.00029877049180327867,1000.0,-471.5072026381831,2,-0.04980100565298926,30.59394126236439,4.921193838119507
,,8192,0.08464989107451401,0.25902099609375,34.174568724632266,4,0.000298155737704918,1000.0,-372.2431615685182,2,-0.07122228934895247,9.849221210926771,6.575203895568848
,,10240,0.1020293620764278,0.30946044921875,34.20924000740051,5,0.00029754098360655737,1000.0,-429.94929393152313,2,-0.07892983305791859,7.548686909675598,8.2598876953125
-296.19615368478765,108.71361206673173,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.590065956115723
nan,nan,12288,0.06246112571388949,0.21373291015625,34.15369559526444,6,0.0002969262295081967,1000.0,-462.4703227510855,2,-0.06853252549772151,14.993495580554008,13.26079797744751
nan,nan,14336,0.06751887719728984,0.2266845703125,34.24862141609192,7,0.00029631147540983607,1000.0,-374.89474084621065,2,-0.07153483356814831,16.422080317139624,15.00448203086853
nan,nan,16384,0.0735122657584725,0.2398681640625,33.974597132205965,8,0.00029569672131147536,1000.0,-318.21188723806983,2,-0.0683191549644107,14.69194478839636,16.78120708465576
nan,nan,18432,0.07337296514597255,0.24219970703125,34.13168655633926,9,0.0002950819672131147,1000.0,-444.31676545734956,2,-0.07319804316211957,19.708651112020014,18.50034189224243
nan,nan,20480,0.10613041650503874,0.30408935546875,34.146277737617496,10,0.00029446721311475406,1000.0,-390.13356478014543,2,-0.07666573747701477,14.877571626007557,20.207628965377808
-219.94907459695432,67.71469787200837,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.63597273826599
nan,nan,22528,0.09074347160640173,0.26990966796875,34.050410497188565,11,0.0002938524590163934,1000.0,-402.7737446134764,2,-0.07521851309866179,12.104007971286773,25.33668875694275
nan,nan,24576,0.11336435998091474,0.33157958984375,34.1850250005722,12,0.00029323770491803276,1000.0,-337.9243100883393,2,-0.09075402735325042,13.79412480443716,27.01962184906006
nan,nan,26624,0.13118600860470905,0.3566162109375,34.248717510700224,13,0.0002926229508196721,1000.0,-368.0291239281562,2,-0.08144454575667623,13.444187566637993,28.778989791870117
nan,nan,28672,0.0887033847742714,0.28212890625,34.11005553007126,14,0.00029200819672131145,1000.0,-312.59319130772496,2,-0.08329057343362364,16.180170911550523,30.550742864608765
nan,nan,30720,0.11551514483580831,0.33604736328125,34.21040731668472,15,0.0002913934426229508,1000.0,-303.75303503594284,2,-0.08460357997828397,15.810489265620708,32.29862976074219
-168.25895939393598,42.04650513590458,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.84025979042053
nan,nan,32768,0.14086422744730953,0.37567138671875,34.06472936868668,16,0.00029077868852459015,1000.0,-342.3890889018536,2,-0.0863008929823991,11.953920049965381,37.55218195915222
nan,nan,34816,0.1466484866803512,0.3762451171875,34.162310528755185,17,0.00029016393442622945,1000.0,-363.4897233097025,2,-0.08677468820242211,14.81643428504467,39.24386477470398
nan,nan,36864,0.1963183298445074,0.4520263671875,34.44088060855866,18,0.00028954918032786885,1000.0,-370.32252191141254,2,-0.08621122824552004,9.185874492675065,40.945103883743286
nan,nan,38912,0.15331589484994765,0.3976806640625,34.24147287607193,19,0.0002889344262295082,1000.0,-327.1230622206067,2,-0.08903804901929106,12.573114657402039,42.70735001564026
nan,nan,40960,0.09686008876306004,0.293017578125,34.16495333909988,20,0.00028831967213114755,1000.0,-400.7296313845155,2,-0.08303956818126608,19.253371042013168,44.4801869392395
-243.55234505347434,52.806440190451106,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.982218980789185
nan,nan,43008,0.10135952960699797,0.30885009765625,34.085508573055264,21,0.00028770491803278684,1000.0,-406.2943180781911,3,-0.08979064866725821,23.27605097591877,49.693458795547485
nan,nan,45056,0.1031870345614152,0.2971923828125,34.04421499967575,22,0.0002870901639344262,1000.0,-326.8414935615144,2,-0.0881403928011423,22.500476409494876,51.39754796028137
nan,nan,47104,0.19954820801794995,0.43526611328125,34.24325147867203,23,0.00028647540983606554,1000.0,-378.8391355174224,2,-0.08493033071281389,12.850119046866894,53.085041761398315
nan,nan,49152,0.11964437445858493,0.35340576171875,34.08429948091507,24,0.0002858606557377049,1000.0,-284.59055311663644,2,-0.09379657377139665,17.380411008000372,54.78062391281128
nan,nan,51200,0.17573674373852555,0.42066650390625,34.18022099733353,25,0.00028524590163934424,1000.0,-322.600378481369,2,-0.09261435743828769,13.529706890881062,56.536263942718506
-181.19563248031142,25.02232410849169,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.13806676864624
nan,nan,53248,0.19207306949829217,0.43070068359375,34.228472554683684,26,0.0002846311475409836,1000.0,-388.948590617783,2,-0.0916540820922819,12.467778372764588,61.88867473602295
nan,nan,55296,0.18552869559498503,0.441015625,34.19612832069397,27,0.00028401639344262294,1000.0,-335.06410555058306,2,-0.09302956485480536,11.731592881679536,63.603614807128906
nan,nan,57344,0.19170015974668786,0.43052978515625,34.16527613401413,28,0.0002834016393442623,1000.0,-320.8155942559124,2,-0.08742668879276608,13.996086032688618,65.3181037902832
nan,nan,59392,0.23307391567796004,0.47496337890625,34.33694739341736,29,0.00028278688524590163,1000.0,-397.80948697599183,2,-0.08704997070599348,11.263018652796745,67.0059928894043
nan,nan,61440,0.14818922412232496,0.393505859375,34.163578641414645,30,0.00028217213114754093,1000.0,-327.6531303961149,2,-0.09662462352425791,10.969164574891328,68.67783188819885
-238.22370554038648,36.47497318161092,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.21530985832214
nan,nan,63488,0.14945461424067616,0.3955078125,34.39973279237747,31,0.0002815573770491803,1000.0,-261.9678540949046,2,-0.09736067890189588,14.964359061419964,73.96192383766174
nan,nan,65536,0.155127612434444,0.39686279296875,34.11175237894058,32,0.0002809426229508196,1000.0,-322.8997955055597,2,-0.1005106992321089,14.011672873795032,75.73870587348938
nan,nan,67584,0.23339939339202828,0.4811279296875,34.19039883613586,33,0.00028032786885245903,1000.0,-284.55350634775345,2,-0.09178214310959447,10.531797020882369,77.44588088989258
nan,nan,69632,0.13588887088408227,0.37611083984375,34.16163845062256,34,0.0002797131147540983,1000.0,-281.1547147738167,2,-0.10183750586293172,19.58440098464489,79.1575539112091
nan,nan,71680,0.1893127605348127,0.435400390625,34.15634746551514,35,0.00027909836065573767,1000.0,-179.4638828118422,2,-0.09896303420537152,14.338253442943095,80.82818579673767
-187.05462784050482,63.652097925720156,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.42728090286255
nan,nan,73728,0.15468326444388367,0.39185791015625,34.27267701625824,36,0.000278483606557377,1000.0,-367.4432356285299,2,-0.1016297685157042,13.590942220389843,86.15556478500366
nan,nan,75776,0.15696977002662607,0.4107421875,34.2968820810318,37,0.00027786885245901637,1000.0,-345.83008810261316,2,-0.1044588590564672,18.450933489203454,87.90610384941101
nan,nan,77824,0.48094409226905555,0.60355224609375,34.49595609903336,38,0.0002772540983606557,1000.0,-367.8449838989644,2,-0.07562841715989635,10.515573342144489,89.62358498573303
nan,nan,79872,0.15593739492469466,0.40655517578125,34.12513257265091,39,0.00027663934426229507,1000.0,-279.40803923230385,2,-0.10283630535705016,15.962940388917923,91.32500672340393
nan,nan,81920,0.32717962479509877,0.52802734375,34.31009140014648,40,0.0002760245901639344,1000.0,-203.5951201650696,2,-0.09092548655462451,8.459369509667159,93.0419647693634
-81.78699551333816,44.36076921923873,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.56975984573364
nan,nan,83968,0.13177781005797443,0.36685791015625,34.20455422401428,41,0.00027540983606557377,1000.0,-334.7423556569769,2,-0.0976860971422866,20.4261064440012,98.28613686561584
nan,nan,86016,0.12707233479595742,0.359423828125,34.12096242904663,42,0.0002747950819672131,1000.0,-192.84074477605668,3,-0.09604497830441687,24.87488372027874,100.05736088752747
nan,nan,88064,0.288267954197363,0.49974365234375,34.2103107213974,43,0.0002741803278688524,1000.0,-376.35682352999066,2,-0.10350239798717667,10.82927601337433,101.82905602455139
nan,nan,90112,0.26609925134980583,0.50501708984375,34.18670496940613,44,0.00027356557377049176,1000.0,-291.4963788066355,2,-0.10085566169291268,11.554260900616645,103.54204082489014
