eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.05144269817974419,0.055419921875,0.13735350966453552,0.19384765625,0.18833008408546448,0.14373779296875,1.5911529110480842,8.569444887062128,34.10172064304352,1,0.0003,1000.0,-454.52685886150084,2,-0.35574054950338907,12.32045674622059,1.971116065979004
,,4096,0.07525808388309088,0.04511718824505806,0.220947265625,0.32275390625,0.28437501192092896,0.21829833984375,4.924513094127178,27.060970962047577,34.14862768650055,2,0.0002993852459016393,1000.0,-479.8937820442516,2,-0.9910260517150163,29.126968970894815,3.9511568546295166
,,6144,0.08827852126851213,0.06977538764476776,0.25224608182907104,0.3434081971645355,0.3155273497104645,0.2452392578125,6.0772690087556835,33.066222178936,34.166885912418365,3,0.00029877049180327867,1000.0,-451.27689714189273,2,-1.1311792220920325,31.3520327270031,5.954497814178467
,,8192,0.13894483928161208,0.128662109375,0.3233398497104645,0.432861328125,0.40190428495407104,0.32169189453125,7.355846583843231,39.59534987211227,34.37595853805542,4,0.000298155737704918,1000.0,-487.35652721690167,2,-1.601207325514406,17.680538976192473,7.991304874420166
,,10240,0.13525903802365064,0.11396484076976776,0.3165039122104645,0.43095701932907104,0.39594727754592896,0.31434326171875,8.130003428459167,44.098456585407256,34.26537352800369,5,0.00029754098360655737,1000.0,-500.8968782873775,2,-1.5164986461400987,17.209971579909325,10.042423009872437
-215.29576606713636,94.62904574713788,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.463774919509888
nan,nan,12288,0.18954613752721344,0.15615233778953552,0.37055665254592896,0.4916015565395355,0.4805664122104645,0.37471923828125,9.153886432945729,52.52363747358322,34.47673308849335,6,0.0002969262295081967,1000.0,-387.96158313544424,2,-1.8295300407335162,10.013994773477316,15.516527891159058
nan,nan,14336,0.18570486093231012,0.14057616889476776,0.37568360567092896,0.49531251192092896,0.46528321504592896,0.3692138671875,9.47203633338213,54.44482159614563,34.29747591018677,7,0.00029631147540983607,1000.0,-381.14274877985576,2,-1.800149043928832,13.253763803839684,17.590609788894653
nan,nan,16384,0.20304675290826707,0.14052733778953552,0.3709960877895355,0.4993652403354645,0.4823242127895355,0.37330322265625,9.561547967791558,59.29239762425423,34.35720193386078,8,0.00029569672131147536,1000.0,-543.2780232461139,2,-1.7574538845568894,11.898082009702922,19.665985107421875
nan,nan,18432,0.20787747960712294,0.140625,0.35761719942092896,0.5142577886581421,0.4931640625,0.376416015625,9.583899752795697,48.65423572063446,34.29234956502914,9,0.0002950819672131147,1000.0,-430.41113377475745,2,-1.9211543599143623,11.830333925783634,21.72685170173645
