eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.22021121901707374,0.511425793170929,0.46259766817092896,0.25849610567092896,0.12651367485523224,0.33975830078125,2.2910895786939363,12.333001069068269,0.01,34.9160094499588,1,0.0003,1000.0,-454.52685886150084,2,-1.5545732911574306,12.341094449162483,2.6175949573516846
,,4096,0.0971126089221798,0.37543946504592896,0.4024902284145355,0.254150390625,0.08291015774011612,0.27874755859375,4.064147331565619,22.811633276939393,0.01,34.46421493291855,2,0.0002993852459016393,1000.0,-516.2543589584094,2,-1.9181162438588217,14.227612811326981,5.01452112197876
,,6144,1.7447385658830172,0.7815917730331421,0.765673816204071,0.334716796875,0.12514647841453552,0.5017822265625,9.695721837878228,56.741101348400115,0.01,41.52579270601272,3,0.00029877049180327867,1000.0,-534.7659949380966,2,-5.54629362039268,7.292713776230812,7.422104120254517
,,8192,4.143664908893697,0.82080078125,0.802490234375,0.23574218153953552,0.09208984673023224,0.48778076171875,14.115638685971499,90.28411276265979,0.01,62.21490364074707,4,0.000298155737704918,1000.0,-610.713985951563,2,-7.064722308822093,8.221120002865792,9.85464096069336
,,10240,5.263725536462152,0.8702636957168579,0.8841797113418579,0.2562499940395355,0.10908202826976776,0.52994384765625,18.264226231724024,113.74636318981648,0.01,65.15158739089966,5,0.00029754098360655737,1000.0,-628.0075546861591,2,-8.193679635040462,8.27403998374939,12.156765937805176
-573.5202370433398,6.910086176420191,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.837831974029541
nan,nan,12288,6.705928981440957,0.938525378704071,0.9459472894668579,0.23305663466453552,0.11308594048023224,0.55765380859375,24.77750949449837,186.08602856695651,0.01,75.80463321208954,6,0.0002969262295081967,1000.0,-588.4116039502013,2,-10.646793316467665,6.939655644074082,18.291574001312256
nan,nan,14336,6.382307594907616,0.943798840045929,0.9222656488418579,0.3916015625,0.12412109225988388,0.59544677734375,22.17686304040253,143.34960464686156,0.01,72.4244164466858,7,0.00029631147540983607,1000.0,-557.1028071961634,2,-8.38275027303025,9.285722659528256,20.82551908493042
nan,nan,16384,10.025893330277176,0.942431628704071,0.939990222454071,0.91650390625,0.221923828125,0.75521240234375,17.172499541565777,208.7290367335081,0.01,98.25497205257416,8,0.00029569672131147536,1000.0,-583.8394486336462,2,-5.7747894622269085,7.023252719920128,23.297255992889404
nan,nan,18432,0.17824921935098245,0.26445311307907104,0.2940429747104645,0.3775390684604645,0.45659178495407104,0.34815673828125,0.053938284330070016,0.3132080553099513,0.01,34.66670093536377,9,0.0002950819672131147,1000.0,-691.9279389338479,2,0.03346963513067749,16.558379129320382,25.688421964645386
