eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.025351980845152867,0.08408202975988388,0.07675781100988388,0.077392578125,0.07451172173023224,0.07818603515625,0.010248089761080336,0.055263216336607,10.0,34.15636726617813,1,0.0003,1000.0,-454.52685886150084,2,-0.025425545322650577,12.308912512660026,1.9436118602752686
,,4096,0.030545990124664968,0.09580077975988388,0.09931640326976776,0.09208984673023224,0.08906249701976776,0.0940673828125,0.010487064573680982,0.05530652477173135,10.0,34.17170529365539,2,0.0002993852459016393,1000.0,-386.7320194658298,2,-0.03381689869202091,9.398643437027932,3.863935947418213
,,6144,0.035165432551002594,0.11147461086511612,0.11103515326976776,0.110595703125,0.10986328125,0.1107421875,0.0089365091160289,0.04792318217805587,10.0,34.20073390007019,3,0.00029877049180327867,1000.0,-426.9372040280858,2,-0.03885295468408003,9.428645503520965,5.791488885879517
,,8192,0.029167391058581415,0.09174804389476776,0.09409179538488388,0.08251953125,0.09033203125,0.0896728515625,0.008764842576056253,0.04789935955195688,10.0,34.28095304965973,4,0.000298155737704918,1000.0,-403.46479105897305,2,-0.03525510779290926,13.955748489499092,7.726909875869751
,,10240,0.04775864836847177,0.14853516221046448,0.151123046875,0.14873047173023224,0.15781250596046448,0.15155029296875,0.008076148355030455,0.045297720382222906,10.0,34.22337334156036,5,0.00029754098360655737,1000.0,-455.834748344732,2,-0.043320966569626765,10.437260460853576,9.626130819320679
-172.2672190962527,84.31659134564394,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.014240980148315
nan,nan,12288,0.030998595227720215,0.10043945163488388,0.09853515774011612,0.09804687649011612,0.09438476711511612,0.0978515625,0.008626337051100563,0.04814167805016041,10.0,34.284505939483644,6,0.0002969262295081967,1000.0,-444.40660709455165,2,-0.03525834437969024,19.026698660850524,15.096731901168823
nan,nan,14336,0.049709218302450606,0.16752929985523224,0.14990234375,0.15180663764476776,0.15361328423023224,0.155712890625,0.007386218753526919,0.042226656444836405,10.0,34.216242504119876,7,0.00029631147540983607,1000.0,-360.0899757296248,2,-0.04867867932662193,11.384549431502819,17.189318895339966
nan,nan,16384,0.04460339389988803,0.14985351264476776,0.14370116591453552,0.13652344048023224,0.14106445014476776,0.14278564453125,0.007757116846914869,0.04565199373755604,10.0,34.22009683847428,8,0.00029569672131147536,1000.0,-401.9880209632598,2,-0.04238583856204059,13.382151812314987,19.24044704437256
nan,nan,18432,0.07152122042825795,0.22221679985523224,0.22929687798023224,0.221435546875,0.21831054985523224,0.22281494140625,0.007693285573623143,0.04485982569749467,10.0,34.24818482398987,9,0.0002950819672131147,1000.0,-350.6446082362153,2,-0.04812644987287058,13.871443700790405,21.273798942565918
