eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.024880760943779022,0.07329101860523224,0.07294921576976776,0.07236327975988388,0.07436523586511612,0.0732421875,34.14650897979736,0.473443799931556,1,0.0003,1000.0,-454.52685886150084,2,-0.03119706989527913,12.30894314199686,2.1864099502563477
,,4096,0.020856463388190603,0.05024414137005806,0.05854492262005806,0.05869140475988388,0.0576171875,0.0562744140625,34.116595447063446,0.4832739350385964,2,0.0002993852459016393,1000.0,-470.7301870172307,2,-0.058375259631429796,20.682497465610503,4.310899972915649
,,6144,0.029944674340367784,0.09355469048023224,0.08974609524011612,0.08798827975988388,0.09648437798023224,0.091943359375,34.15521575212479,0.4678082576021552,3,0.00029877049180327867,1000.0,-449.39267745213937,2,-0.07519435991125648,12.35825851559639,6.468408107757568
,,8192,0.03159258711530129,0.09853515774011612,0.10195312649011612,0.09628906100988388,0.09609375149011612,0.0982177734375,34.27221486568451,0.4699257484637201,4,0.000298155737704918,1000.0,-391.45321614870375,2,-0.04805497146589914,13.6697252497077,8.70504093170166
,,10240,0.027446094496553997,0.07822265475988388,0.08369140326976776,0.08847656100988388,0.07802734524011612,0.0821044921875,34.12761865854263,0.4814022325910628,5,0.00029754098360655737,1000.0,-450.35284657663726,2,-0.07026351675158367,19.130551725625992,10.789669036865234
-235.44248782333761,75.79319298515522,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.295023918151855
nan,nan,12288,0.036339064133062496,0.11430664360523224,0.11879882961511612,0.11142577975988388,0.11464843899011612,0.114794921875,34.285548853874204,0.44076171903871,6,0.0002969262295081967,1000.0,-397.9186752837809,2,-0.0738050104555441,20.355830666422843,16.485258102416992
nan,nan,14336,0.05373083390077227,0.17231445014476776,0.18408203125,0.16923828423023224,0.169677734375,0.173828125,34.220554327964784,0.4368441312108189,7,0.00029631147540983607,1000.0,-443.921852286248,2,-0.05376002376142423,13.809967982769013,18.669636249542236
nan,nan,16384,0.026226570370636183,0.0771484375,0.08193359524011612,0.0751953125,0.077392578125,0.07791748046875,34.13078409433365,0.4784829208627343,8,0.00029569672131147536,1000.0,-364.0565632970611,2,-0.04167051517724758,22.240890941023828,20.919034957885742
nan,nan,18432,0.027096220938256012,0.07895507663488388,0.08447265625,0.08212890475988388,0.07822265475988388,0.08094482421875,34.04087157249451,0.48058381397277117,9,0.0002950819672131147,1000.0,-355.64873153367785,2,-0.03848306716245133,21.9415552765131,23.02375888824463
nan,nan,20480,0.05038196984678507,0.14692382514476776,0.16386719048023224,0.16274413466453552,0.1533203125,0.1567138671875,34.214153456687924,0.43273972854949533,10,0.00029446721311475406,1000.0,-458.5985727757685,2,-0.03227358368458226,13.508683203160762,25.11262798309326
-341.88213721142665,94.12208832863482,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.64925193786621
nan,nan,22528,0.051407695646048523,0.15659180283546448,0.16152343153953552,0.16459961235523224,0.16684570908546448,0.16239013671875,34.31992864608765,0.43057046830654144,11,0.0002938524590163934,1000.0,-448.09757555203265,2,-0.048128640122013164,12.728470143675803,30.8751220703125
nan,nan,24576,0.045504614087985826,0.13652344048023224,0.14267578721046448,0.15629883110523224,0.150634765625,0.146533203125,34.22141674757004,0.4447718028444797,12,0.00029323770491803276,1000.0,-419.7008984861142,2,-0.05868059034692123,16.444381886720656,33.126585245132446
nan,nan,26624,0.040268635345273654,0.12646484375,0.140869140625,0.1240234375,0.12539061903953552,0.12918701171875,34.163603162765504,0.4349869984202087,13,0.0002926229508196721,1000.0,-507.62397850779314,2,-0.056342575125745496,22.391531026363374,35.21950101852417
nan,nan,28672,0.039663094085699416,0.12431640923023224,0.12216796725988388,0.12871094048023224,0.12485351413488388,0.12501220703125,34.0987007856369,0.47147735725156964,14,0.00029200819672131145,1000.0,-458.15136986405037,2,-0.030096400881302544,20.211276215314864,37.37471008300781
nan,nan,30720,0.058022252916998696,0.174072265625,0.17412109673023224,0.18037109076976776,0.193115234375,0.180419921875,34.29101840257645,0.4405261216219515,15,0.0002913934426229508,1000.0,-491.8029175713075,2,-0.044905770496552574,17.737467704713346,39.598214864730835
-360.17864774443655,52.67025367952897,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.211050033569336
nan,nan,32768,0.04263212295409176,0.13129882514476776,0.13496093451976776,0.13325195014476776,0.14121094346046448,0.1351806640625,34.259450781345365,0.46300163422711194,16,0.00029077868852459015,1000.0,-356.2042983854285,2,-0.047977198811713605,17.86133912652731,45.44017004966736
nan,nan,34816,0.0452065246507118,0.13271483778953552,0.14277343451976776,0.14536133408546448,0.15874023735523224,0.1448974609375,34.26017562150955,0.29585359713528303,17,0.00029016393442622945,1000.0,-500.0171337646159,2,-0.03808921376476064,15.217793703079224,47.537724018096924
nan,nan,36864,0.06521889329087571,0.188232421875,0.19804687798023224,0.20356445014476776,0.21958008408546448,0.20235595703125,34.25614252090454,0.4257841379381716,18,0.00028954918032786885,1000.0,-403.9814088387928,2,-0.050261752326332496,13.867099843919277,49.70439410209656
nan,nan,38912,0.04048829102393938,0.1103515625,0.12353515625,0.13613280653953552,0.14521484076976776,0.12880859375,34.21504805088043,0.4673316552303731,19,0.0002889344262295082,1000.0,-461.3746937977992,2,-0.04625982736470178,19.94186853170395,51.92206692695618
nan,nan,40960,0.05757213387769298,0.16782227158546448,0.1845703125,0.18437500298023224,0.17485351860523224,0.1779052734375,34.375030720233916,0.41878266939893366,20,0.00028831967213114755,1000.0,-470.55556493459807,2,-0.03851910638622939,15.931616520881652,54.16237711906433
-370.9443531497711,84.18884536374004,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.79832410812378
nan,nan,43008,0.03519446443824563,0.1103515625,0.11850585788488388,0.11391601711511612,0.10844726860523224,0.11280517578125,34.05052102804184,0.2931283895857632,21,0.00028770491803278684,1000.0,-479.28758617849854,3,-0.04017635168274865,23.755409264564513,59.91189885139465
nan,nan,45056,0.04289166442322312,0.1298828125,0.127197265625,0.13876953721046448,0.13852539658546448,0.13359375,34.23042483329773,0.39570620288141073,22,0.0002870901639344262,1000.0,-453.7335639837446,2,-0.05926408924569841,10.400202691555023,62.095027923583984
nan,nan,47104,0.0952850091845903,0.276123046875,0.26850587129592896,0.280517578125,0.2783203125,0.27586669921875,34.46218789815903,0.40266650007106364,23,0.00028647540983606554,1000.0,-393.07191100408966,2,-0.04161139169300441,9.670069620013237,64.30719995498657
nan,nan,49152,0.06698148332798155,0.19887694716453552,0.20039062201976776,0.20156249403953552,0.20454101264476776,0.2013427734375,34.300858521461485,0.4328227507416159,24,0.0002858606557377049,1000.0,-335.6694365809298,2,-0.045456688221020156,10.91963759213686,66.55542707443237
nan,nan,51200,0.05918849042282091,0.1787109375,0.18271484971046448,0.19184570014476776,0.18559570610523224,0.184716796875,34.41012306213379,0.42740707276389,25,0.00028524590163934424,1000.0,-386.16886822022093,2,-0.061792392036295496,12.365685145556927,68.81979608535767
-334.5731678363543,81.45513453105302,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.48750591278076
