eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.033231525604787746,0.10903320461511612,0.113525390625,0.11083984375,0.11503906548023224,0.11772461235523224,0.09843750298023224,0.10493163764476776,0.10546875,0.109375,0.02404042433045106,0.26082112032745497,10.0,68.3078661441803,1,0.0003,1000.0,-490.6477598456707,2,-0.01728256893256912,27.12863032221794,3.0018510818481445
,,4096,0.0392503085800854,0.177490234375,0.16826172173023224,0.15317383408546448,0.12568359076976776,0.11616210639476776,0.10053710639476776,0.08447265625,0.08027343451976776,0.1257568359375,0.026608281646622343,0.27389675597660246,10.0,68.42330815792084,2,0.0002993852459016393,1000.0,-459.01106869594093,2,-0.023927552642999218,11.247890302538872,5.996814966201782
,,6144,0.03808952223989763,0.16416016221046448,0.17094726860523224,0.13398437201976776,0.12343750149011612,0.10952148586511612,0.09638671576976776,0.09716796875,0.097412109375,0.124127197265625,0.025838849699357524,0.28044014018960295,10.0,68.45746574401855,3,0.00029877049180327867,1000.0,-527.9295112673383,2,-0.022702251852024347,12.386603067815305,8.94604778289795
,,8192,0.041057631768489956,0.19008788466453552,0.18242187798023224,0.16298827528953552,0.13520507514476776,0.11796875298023224,0.107666015625,0.09682617336511612,0.090087890625,0.135406494140625,0.02591930127236992,0.2896284129936248,10.0,68.47851328849792,4,0.000298155737704918,1000.0,-502.0513393145517,2,-0.027225854124117176,13.553960213065148,12.028382778167725
,,10240,0.040820133603483556,0.18320313096046448,0.17880859971046448,0.17573241889476776,0.12822265923023224,0.11093749850988388,0.11801757663488388,0.091796875,0.08642578125,0.13414306640625,0.024783067347016186,0.2727092957589775,10.0,68.55513956546784,5,0.00029754098360655737,1000.0,-471.8297123577205,2,-0.027256685981410556,15.170051369071007,15.066411972045898
-136.4243747097957,123.32025504052348,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.972396850585938
nan,nan,12288,0.03812482506509696,0.16425780951976776,0.15419921278953552,0.13593749701976776,0.12192382663488388,0.10698242485523224,0.114013671875,0.10009765625,0.09624023735523224,0.12420654296875,0.020535115426173433,0.2342262280639261,10.0,68.2863897562027,6,0.0002969262295081967,1000.0,-505.7752614465996,2,-0.027647482414613476,14.647984763979911,24.211461067199707
nan,nan,14336,0.03948552527508582,0.17070312798023224,0.17060546576976776,0.14453125,0.13588866591453552,0.11865234375,0.10507812350988388,0.10107421875,0.09550781548023224,0.130255126953125,0.02143972966587171,0.2495517036411911,10.0,68.34935910701752,7,0.00029631147540983607,1000.0,-417.19525661386166,2,-0.027600124741729813,16.00057969093323,27.219786882400513
nan,nan,16384,0.043436406731052556,0.176513671875,0.17006835341453552,0.15141601860523224,0.143310546875,0.12895508110523224,0.12441406399011612,0.12299804389476776,0.11699219048023224,0.14183349609375,0.021844311538734472,0.24761149459518492,10.0,68.38034586906433,8,0.00029569672131147536,1000.0,-433.51339057626296,2,-0.02955276578431949,18.169577161967755,30.37819504737854
nan,nan,18432,0.04651240003076964,0.21469727158546448,0.19550780951976776,0.16997070610523224,0.14863280951976776,0.14111328125,0.12939453125,0.12465820461511612,0.11220703274011612,0.154522705078125,0.024650470778578893,0.2978602342773229,10.0,68.51216580867768,9,0.0002950819672131147,1000.0,-446.7465123110086,2,-0.02867101631418336,21.17530009150505,33.532981872558594
