eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.05617624175556557,0.24897460639476776,0.25859373807907104,0.13227538764476776,0.13212890923023224,0.13422851264476776,0.13393554091453552,0.11411132663488388,0.11865234375,0.25019532442092896,0.23520508408546448,0.24140624701976776,0.23383788764476776,0.22207030653953552,0.22036132216453552,0.19047851860523224,0.15634766221046448,0.1889251708984375,0.04147622201926424,0.8538698713178746,10.0,68.83108837604523,1,0.0003,16.6260162601626,10.786835261879213,123,-0.03381661517014436,5.689883987605572,5.474078178405762
,,4096,0.04473372975135135,0.21455077826976776,0.23081055283546448,0.08798827975988388,0.06796874850988388,0.06489257514476776,0.05703125149011612,0.05014648288488388,0.046630859375,0.23701171576976776,0.23554687201976776,0.22431640326976776,0.215576171875,0.19418945908546448,0.17529296875,0.15537109971046448,0.11928711086511612,0.1485382080078125,0.04390396203380078,0.849851046409458,10.0,68.67767567634583,2,0.0002993852459016393,72.57142857142857,79.66664679612238,28,-0.024876120558474213,38.43102834820748,11.107002019882202
,,6144,0.05555452808330301,0.2665039002895355,0.28022462129592896,0.11464843899011612,0.095947265625,0.09829101711511612,0.079833984375,0.05864257737994194,0.05795898288488388,0.27314454317092896,0.27558594942092896,0.26396483182907104,0.2801269590854645,0.27167969942092896,0.22080078721046448,0.18310546875,0.14082030951976776,0.1850799560546875,0.046105658961459996,0.8726536631584167,10.0,68.96175508499145,3,0.00029877049180327867,25.974683544303797,43.25155639827685,79,-0.029319466854212807,19.80799867063761,16.77434992790222
,,8192,0.0713321702893154,0.333984375,0.3541015684604645,0.17026367783546448,0.12973633408546448,0.09775390475988388,0.06777343899011612,0.05747070163488388,0.05629882961511612,0.3519043028354645,0.3536621034145355,0.3509765565395355,0.3319335877895355,0.3119140565395355,0.2530761659145355,0.20830078423023224,0.16816405951976776,0.2248321533203125,0.04956887667067349,0.9867511736229062,10.0,69.56423602104186,4,0.000298155737704918,22.604395604395606,38.51686850488697,91,-0.03399777026497759,1.9956772405654193,22.589190006256104
,,10240,0.06803858355706324,0.33881837129592896,0.3384765684604645,0.13164062798023224,0.10917969048023224,0.08388672024011612,0.046875,0.02739257737994194,0.021240234375,0.34907227754592896,0.34736329317092896,0.3445800840854645,0.3302246034145355,0.31884765625,0.28095704317092896,0.208984375,0.15380859375,0.214459228515625,0.048696815758012234,1.0420936394482851,10.0,69.11396811008453,5,0.00029754098360655737,22.36263736263736,38.30784976004584,91,-0.032507947349222376,0.627342158742249,28.35657525062561
37.69868787050787,1.0134150533600652,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.62837290763855
nan,nan,12288,0.06799909757701243,0.33466798067092896,0.34492188692092896,0.13427734375,0.13447265326976776,0.10595703125,0.06494140625,0.04702148586511612,0.04633789137005806,0.326416015625,0.33134764432907104,0.32890623807907104,0.3482910096645355,0.33500975370407104,0.2652831971645355,0.19829101860523224,0.16391602158546448,0.219378662109375,0.050635812658583745,1.042411768808961,10.0,69.27119281291962,6,0.0002969262295081967,23.88372093023256,40.23003194625187,86,-0.0369299998274073,0.8132729305885732,34.39328718185425
nan,nan,14336,0.052064323196464105,0.2757324278354645,0.2933593690395355,0.10825195163488388,0.09257812798023224,0.05600585788488388,0.03471679612994194,0.026123046875,0.02260742150247097,0.2896484434604645,0.29389649629592896,0.290283203125,0.2623535096645355,0.22905273735523224,0.20073242485523224,0.15781250596046448,0.13002929091453552,0.172698974609375,0.04895817948272452,1.094953121803701,10.0,68.98820152282715,7,0.00029631147540983607,51.82051282051282,61.865108006763805,39,-0.02718734056688845,15.444328564405442,40.058417081832886
nan,nan,16384,0.06121718509275524,0.32587891817092896,0.311279296875,0.11259765923023224,0.09902343899011612,0.07216797024011612,0.04985351487994194,0.040283203125,0.04130859300494194,0.31181639432907104,0.2833007872104645,0.2845214903354645,0.28764647245407104,0.26166993379592896,0.21621093153953552,0.15673828125,0.12734374403953552,0.1863525390625,0.0515667071682401,0.9772279527038336,10.0,69.03170697689056,8,0.00029569672131147536,24.666666666666668,2.4432133906381868,84,-0.024205540082766673,15.586925883218646,45.70368409156799
nan,nan,18432,0.07564430122347403,0.37211912870407104,0.3858886659145355,0.124755859375,0.11093749850988388,0.07919921725988388,0.06533203274011612,0.05717773362994194,0.05961913987994194,0.3561035096645355,0.35371094942092896,0.3514160215854645,0.31889647245407104,0.29443359375,0.21787109971046448,0.176025390625,0.14912109076976776,0.2170379638671875,0.053505315189249815,1.0004169717431068,10.0,69.42987880706787,9,0.0002950819672131147,18.00877192982456,-1.82553683565863,114,-0.03394369255111087,2.3923778044991195,51.394169092178345
nan,nan,20480,0.07998972513651097,0.43193358182907104,0.42670899629592896,0.13569335639476776,0.10849609225988388,0.08549804985523224,0.065185546875,0.04951171949505806,0.04985351487994194,0.4031738340854645,0.3932128846645355,0.35771483182907104,0.3319335877895355,0.2909179627895355,0.24970702826976776,0.19677734375,0.14848633110523224,0.23280029296875,0.054111602180637416,1.0209755819290876,10.0,69.14408750534058,10,0.00029446721311475406,11.173913043478262,1.6298762545984833,184,-0.044662052358035,0.7058857095427811,57.21508502960205
2.57982116001624,0.14900317574663907,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.30669713020325
