eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_10,train/weight_step_11,train/weight_step_12,train/weight_step_13,train/weight_step_14,train/weight_step_15,train/weight_step_2,train/weight_step_3,train/weight_step_4,train/weight_step_5,train/weight_step_6,train/weight_step_7,train/weight_step_8,train/weight_step_9,wall_time
,,2048,0.017336172175964747,0.028564453125,0.034423828125,0.04804687574505806,0.04526367038488388,0.03242187574505806,0.0400390625,0.03559570387005806,0.04291992262005806,0.03847656399011612,0.03945312649011612,0.04726562649011612,0.04287109524011612,0.03842773288488388,0.03769531100988388,0.04599609225988388,0.04550781100988388,0.040185546875,68.48191249370575,1,0.0003,16.51219512195122,12.210538374960576,123,-0.006074303155764937,11.50137414932251,0.06155058369040489,0.061862003058195114,0.06541894376277924,0.06254380941390991,0.0621747151017189,0.06179945170879364,0.06368498504161835,0.06067346781492233,0.06271989643573761,0.06359320133924484,0.06239214166998863,0.06226060539484024,0.0627693235874176,0.06195664778351784,0.06083110719919205,0.0637691468000412,4.2961719036102295
,,4096,0.009429444956003863,0.004931640811264515,0.00888671912252903,0.01987304724752903,0.02021484449505806,0.016845703125,0.015576171688735485,0.01743164099752903,0.02060546912252903,0.01181640662252903,0.01577148400247097,0.01352539099752903,0.013427734375,0.011474609375,0.013671875,0.01333007775247097,0.0185546875,0.01474609375,68.22110073566436,2,0.0002993852459016393,36.57142857142857,54.3830022005756,56,-0.004360185956466011,54.219412899017335,0.060939278453588486,0.06197693943977356,0.06576509773731232,0.06299331784248352,0.06214016675949097,0.06184222176671028,0.0636693462729454,0.0610727034509182,0.06217309460043907,0.06327652931213379,0.06269047409296036,0.06209728121757507,0.06251568347215652,0.06208067759871483,0.06100180745124817,0.06376530975103378,8.708449840545654
,,6144,0.009046191142260795,0.011279297061264515,0.00869140587747097,0.02426757849752903,0.02226562425494194,0.02006835862994194,0.016357421875,0.01621093787252903,0.01552734337747097,0.013134765438735485,0.014208984561264515,0.01953125,0.01899414137005806,0.01669921912252903,0.012744140811264515,0.01596679724752903,0.019287109375,0.0165771484375,68.18940279483795,3,0.00029877049180327867,51.55,89.87653378782254,40,-0.004302570610889234,47.97620518803596,0.060940857976675034,0.062090884894132614,0.06637825816869736,0.06352159380912781,0.06219354644417763,0.061753515154123306,0.06325123459100723,0.06071356311440468,0.061667073518037796,0.06279754638671875,0.06294988095760345,0.062083590775728226,0.06267669051885605,0.06191212311387062,0.060733236372470856,0.0643363669514656,13.198853969573975
,,8192,0.009357458176418731,0.010302734561264515,0.009765625,0.016845703125,0.01997070387005806,0.01606445387005806,0.02001953125,0.01767578162252903,0.02041015587747097,0.01206054724752903,0.012744140811264515,0.0107421875,0.010986328125,0.01123046875,0.013964843936264515,0.01713867112994194,0.01523437537252903,0.014697265625,68.27575726509095,4,0.000298155737704918,78.61538461538461,139.18002769133574,26,-0.0039423190493835135,71.79378395080566,0.061020441353321075,0.062180813401937485,0.06625176221132278,0.06380406022071838,0.06229924038052559,0.0618562176823616,0.06334143877029419,0.06057394668459892,0.06164770573377609,0.06263835728168488,0.06283240765333176,0.062150679528713226,0.06255321204662323,0.061599280685186386,0.0607670359313488,0.06448344141244888,17.744000911712646
,,10240,0.006602007439141744,0.0050292969681322575,0.0064941407181322575,0.00961914099752903,0.01113281212747097,0.01157226599752903,0.01328125037252903,0.010791015811264515,0.01318359375,0.0069824219681322575,0.005615234375,0.00820312462747097,0.005810546688735485,0.006396484561264515,0.0057128905318677425,0.00839843787252903,0.0074218749068677425,0.008477783203125,68.0844741821289,5,0.00029754098360655737,105.15789473684211,176.63337142074113,19,-0.0013712174375541508,34.216284945607185,0.061246275901794434,0.06247681379318237,0.06620382517576218,0.06381422281265259,0.06255047023296356,0.06204599887132645,0.063758984208107,0.06096504628658295,0.06133778765797615,0.062202900648117065,0.06245307996869087,0.06214720010757446,0.062327343970537186,0.061413176357746124,0.0605812706053257,0.0644756481051445,22.31881093978882
154.98966848666885,5.50068391324653,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.472799062728882
nan,nan,12288,0.009375994432411971,0.010546875186264515,0.014697265811264515,0.011767578311264515,0.015869140625,0.0185546875,0.01953125,0.01806640625,0.01767578162252903,0.01132812537252903,0.011767578311264515,0.011425781063735485,0.014843749813735485,0.013232422061264515,0.01728515699505806,0.01835937425494194,0.01181640662252903,0.0147979736328125,68.15129878520966,6,0.0002969262295081967,88.47826086956522,141.890631075476,23,-0.0029272539395606145,46.96289637982845,0.06120671331882477,0.06252976506948471,0.06597384065389633,0.0634830966591835,0.0628490075469017,0.06213968247175217,0.06407821923494339,0.060466863214969635,0.06150531396269798,0.06244838237762451,0.06196466088294983,0.062274616211652756,0.06249713525176048,0.06150777265429497,0.060703687369823456,0.06437124311923981,28.101634979248047
nan,nan,14336,0.01194138670580287,0.013964843936264515,0.01425781287252903,0.03242187574505806,0.02583007887005806,0.02827148512005806,0.03105468675494194,0.03256835788488388,0.03134765475988388,0.02153320237994194,0.02143554762005806,0.02119140699505806,0.01958007737994194,0.02011718787252903,0.015380859375,0.02094726637005806,0.03012695349752903,0.0237518310546875,68.22000317573547,7,0.00029631147540983607,103.6,175.9258201901748,20,-0.0037780558734084478,11.532799648866057,0.060942262411117554,0.06160556897521019,0.06611455231904984,0.06349215656518936,0.06295649707317352,0.0624723881483078,0.06559175997972488,0.06146020069718361,0.06113892048597336,0.06164100766181946,0.061729736626148224,0.06221802532672882,0.062236759811639786,0.06160258874297142,0.06053512915968895,0.06426244229078293,32.72883892059326
nan,nan,16384,0.011218187399208546,0.01333007775247097,0.01601562462747097,0.01801757887005806,0.025146484375,0.02651367150247097,0.02045898512005806,0.02597656287252903,0.02885742112994194,0.010791015811264515,0.01088867150247097,0.01308593712747097,0.012646484188735485,0.01430664025247097,0.01591796800494194,0.023193359375,0.02675781212747097,0.0188690185546875,68.35524106025696,8,0.00029569672131147536,105.63157894736842,173.71291270811926,19,-0.0037511954578803852,29.050630307197572,0.06098155304789543,0.06100662425160408,0.06693984568119049,0.06378062814474106,0.06258475035429001,0.06248420104384422,0.06629008054733276,0.06202193349599838,0.06098530441522598,0.06232599541544914,0.06229252368211746,0.06175117567181587,0.061936426907777786,0.060497161000967026,0.06008576229214668,0.06403598189353943,37.38770604133606
nan,nan,18432,0.012210392481574673,0.010009765625,0.01010742224752903,0.02548828162252903,0.030029296875,0.0380859375,0.04160156100988388,0.03901367262005806,0.03281249850988388,0.008349609561264515,0.010986328125,0.011181640438735485,0.01796874962747097,0.01503906212747097,0.020263671875,0.02573242224752903,0.01967773400247097,0.022271728515625,68.456760430336,9,0.0002950819672131147,83.56,146.32478727687575,25,-0.003851188934640959,62.791215878725055,0.06066591665148735,0.06084088981151581,0.0669645294547081,0.06414057314395905,0.06259854137897491,0.06259661912918091,0.0665627047419548,0.062217071652412415,0.060977738350629807,0.06199265271425247,0.06225018948316574,0.06190279871225357,0.061968956142663956,0.06034104526042938,0.06001094728708267,0.06396880000829697,42.05114197731018
