eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.03821568418061361,0.126513671875,17.023958134651185,1,0.0003,17.655172413793103,13.222223857513429,116,-0.024568789103068412,12.420255825668573,1.7959129810333252
,,4096,0.03798799520882312,0.1249755859375,17.068735218048097,2,0.0002993852459016393,26.012820512820515,27.982741982327944,78,-0.0276553642062936,53.858640199899675,3.6087429523468018
,,6144,0.028545627341372892,0.10042724609375,17.086725103855134,3,0.00029877049180327867,40.74,58.950159821438056,50,-0.027355090589844623,85.9638805270195,5.4464271068573
,,8192,0.026914956539985723,0.09249267578125,17.04946442246437,4,0.000298155737704918,55.24324324324324,94.7941781582103,37,-0.019859187249676325,100.36952434778213,7.263153314590454
,,10240,0.02660661197733134,0.08458251953125,17.0515416264534,5,0.00029754098360655737,62.63636363636363,115.70467625464308,33,-0.01941892949398607,129.34585230350496,9.079869031906128
176.11352391952875,83.21081013126543,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.406704187393188
nan,nan,12288,0.03167343617824372,0.10267333984375,17.11842087507248,6,0.0002969262295081967,66.2,124.64786368333694,30,-0.02576919360726606,138.56199349164962,11.22157597541809
nan,nan,14336,0.031460467504803094,0.0936279296875,17.03650666475296,7,0.00029631147540983607,84.36,169.5829123820842,25,-0.02583885099447798,135.1956386446953,13.089692115783691
nan,nan,16384,0.0347372260002885,0.11260986328125,17.07872697710991,8,0.00029569672131147536,98.0952380952381,205.53254183189225,21,-0.025939801140339114,129.84215677976607,14.973656177520752
nan,nan,18432,0.03515941928199027,0.11324462890625,16.99974068403244,9,0.0002950819672131147,104.52631578947368,226.3014683811605,19,-0.021887176154996267,76.35999412536621,16.871511220932007
nan,nan,20480,0.04611782653664705,0.1376953125,17.100136816501617,10,0.00029446721311475406,117.0,259.5368710970966,18,-0.024351708460017107,50.12427104115486,18.693787097930908
349.1355324597031,6.314356370504769,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.332131147384644
nan,nan,22528,0.054368646515649745,0.1750732421875,17.101175010204315,11,0.0002938524590163934,139.0,300.9892667735609,14,-0.02173585756099783,80.94983844459057,21.18353509902954
nan,nan,24576,0.04935650505067315,0.160205078125,17.1383686542511,12,0.00029323770491803276,140.0,305.0629890362621,15,-0.023712541937129572,52.0686615228653,22.97749924659729
nan,nan,26624,0.054139539031893946,0.16971435546875,17.123526263237,13,0.0002926229508196721,144.71428571428572,318.54235375654844,14,-0.02615868839202449,18.92474110722542,24.838532209396362
nan,nan,28672,0.06755535973061341,0.19229736328125,17.025656163692474,14,0.00029200819672131145,137.66666666666666,316.627642675536,15,-0.025560892533394507,16.11518691778183,26.69274115562439
nan,nan,30720,0.049742468635668044,0.163330078125,17.01273641586304,15,0.0002913934426229508,145.42857142857142,319.1885793602606,14,-0.024057504785014318,33.69630940705538,28.529690265655518
337.05612800424285,1.827837687991066,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.137032985687256
nan,nan,32768,0.04366246736899484,0.14193115234375,17.097622561454774,16,0.00029077868852459015,129.4375,283.4795352209521,16,-0.022128409112337977,59.63608235120773,31.024801015853882
nan,nan,34816,0.07724449039960746,0.23294677734375,17.02618339061737,17,0.00029016393442622945,145.64285714285714,335.0727428242035,14,-0.02244284492917359,6.345481827110052,32.922513246536255
nan,nan,36864,0.055360489364829846,0.17218017578125,17.016678285598754,18,0.00028954918032786885,136.13333333333333,316.2259313546065,15,-0.017758473649155348,34.09304421246052,34.943684101104736
