eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.04053890020077233,0.13295897841453552,0.13427734375,0.13730469346046448,0.13017578423023224,0.13367919921875,0.016981306339948786,0.08491370037954767,10.0,17.208211117982863,1,0.0003,20.277227722772277,15.272906022879871,101,-0.024174685825710186,9.256688272207976,1.9411351680755615
,,4096,0.0274786833084363,0.08847656100988388,0.09111328423023224,0.08295898139476776,0.06049804762005806,0.08076171875,0.015641907299868762,0.07273646554676816,10.0,17.196919256448744,2,0.0002993852459016393,43.319148936170215,57.515657293500524,47,-0.018798880647227633,55.05612456202507,3.940113067626953
,,6144,0.023271764231321868,0.07333984225988388,0.07109375298023224,0.06108398362994194,0.06298828125,0.06712646484375,0.013284117844887079,0.06581498581217601,10.0,17.252878046035768,3,0.00029877049180327867,48.92857142857143,87.66317116624192,42,-0.01626473510914366,88.98520694971084,5.93064022064209
,,8192,0.022156594590342138,0.07563476264476776,0.06816406548023224,0.06083984300494194,0.04848632961511612,0.06328125,0.012407247551891487,0.06466505819698795,10.0,17.048931992053987,4,0.000298155737704918,65.76666666666667,128.90297053142447,30,-0.014296235383153545,116.07044216394425,7.930469036102295
,,10240,0.017935934809065655,0.06879882514476776,0.05224609375,0.03583984449505806,0.02978515625,0.04666748046875,0.011892791888385545,0.06561775334412231,10.0,17.14315684437752,5,0.00029754098360655737,80.84615384615384,170.5734030290525,26,-0.009028907756874104,91.90023901462556,10.15332818031311
192.50652508369885,7.054548235682521,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.484369039535522
nan,nan,12288,0.017235246799100424,0.05390625074505806,0.052490234375,0.04423828050494194,0.03642578050494194,0.04676513671875,0.009597291245881934,0.04950778307393193,10.0,17.126117640733717,6,0.0002969262295081967,87.30434782608695,192.47200470982187,23,-0.00838856354530435,33.950931924581525,12.537025928497314
nan,nan,14336,0.019649851480062354,0.05795898288488388,0.05747070163488388,0.04658203199505806,0.04038085788488388,0.05059814453125,0.010862400410405825,0.05091080612037331,10.0,17.101326757669447,7,0.00029631147540983607,89.43478260869566,197.47380672349718,23,-0.009744224280257185,13.85157582089305,14.588306903839111
nan,nan,16384,0.02120132927229861,0.06059570237994194,0.05693359300494194,0.06186523288488388,0.05952148512005806,0.05972900390625,0.010499301552772521,0.056829285639105366,10.0,17.081594115495683,8,0.00029569672131147536,72.17241379310344,149.11535606052584,29,-0.01062215751662734,65.05084410011769,16.671715021133423
nan,nan,18432,0.027524032225483098,0.11333008110523224,0.09458007663488388,0.06904296576976776,0.05971679836511612,0.08416748046875,0.012483932971372269,0.06688620216445998,10.0,17.07311264872551,9,0.0002950819672131147,86.73913043478261,191.87630415002783,23,-0.013284618845136719,5.650235038995743,18.667531967163086
nan,nan,20480,0.026724952772201504,0.0869140625,0.0751953125,0.07421875,0.08168945461511612,0.07950439453125,0.011823894384724554,0.08812449494726024,10.0,17.170815145969392,10,0.00029446721311475406,77.48148148148148,164.46791035684225,27,-0.011851907373784342,82.382368683815,20.756858110427856
204.34023949988386,5.2061981287521695,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.110416173934937
nan,nan,22528,0.029127322554268177,0.10581054538488388,0.10029296576976776,0.07431640475988388,0.07583007961511612,0.0890625,0.010991790510888676,0.06127349964226596,10.0,17.123436921834944,11,0.0002938524590163934,88.47826086956522,197.54287882259038,23,-0.01483031219104305,5.534451094642281,23.19590187072754
nan,nan,24576,0.019694294009241275,0.05063476413488388,0.05600585788488388,0.058837890625,0.050048828125,0.0538818359375,0.007940333014994394,0.048776714137056844,10.0,17.171808463335037,12,0.00029323770491803276,85.29166666666667,186.7035326446587,24,-0.009458566216744657,12.825465506315231,25.229696035385132
nan,nan,26624,0.025191055976756617,0.09736327826976776,0.06586913764476776,0.06362304836511612,0.06015624850988388,0.0717529296875,0.010826062726846431,0.06390861241379753,10.0,17.156723064184188,13,0.0002926229508196721,88.04347826086956,195.43296667631157,23,-0.00982218602875946,4.619349544122815,27.203941106796265
nan,nan,28672,0.024717486606823512,0.0908203125,0.06782226264476776,0.05859375,0.06552734225988388,0.07069091796875,0.01125762690207921,0.06627542042406276,10.0,17.08240612745285,14,0.00029200819672131145,89.6086956521739,196.04220554465175,23,-0.01458487784220779,6.6232041522860525,29.224481105804443
nan,nan,30720,0.030915005787392147,0.14350585639476776,0.094482421875,0.07465820014476776,0.06787109375,0.09512939453125,0.012919424787105527,0.10114055879530497,10.0,17.186679220199586,15,0.0002913934426229508,95.04545454545455,201.64101606630285,22,-0.013853984422894428,15.977096309512854,31.254066944122314
208.02101858560962,6.957284423894343,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.61173915863037
nan,nan,32768,0.024678184791991954,0.08203125,0.06884765625,0.060302734375,0.06987304985523224,0.070263671875,0.007997881877963664,0.04092407839780208,10.0,17.137366461753846,16,0.00029077868852459015,90.31818181818181,202.53802091419354,22,-0.010741794497516822,1.616544528864324,33.61556911468506
nan,nan,34816,0.035180600492458323,0.135009765625,0.10947265475988388,0.0849609375,0.09584961086511612,0.1063232421875,0.012272384119569324,0.07255737711675465,10.0,17.10089248418808,17,0.00029016393442622945,92.18181818181819,207.51190997654683,22,-0.01785720558036701,2.149344698339701,35.597805976867676
nan,nan,36864,0.020508390468603466,0.08071289211511612,0.05849609524011612,0.04013671725988388,0.03383789211511612,0.0532958984375,0.008704526964720571,0.07724917333107442,10.0,17.162323862314224,18,0.00028954918032786885,97.80952380952381,215.64524465334316,21,-0.009087207263655727,9.306475600227714,37.5647931098938
nan,nan,38912,0.03532147064979654,0.13779297471046448,0.119384765625,0.09365234524011612,0.09560547024011612,0.11160888671875,0.010842879442498088,0.05908342416514643,10.0,17.123020726442338,19,0.0002889344262295082,100.28571428571429,221.15286280191114,21,-0.016825965456519043,1.1607747144065796,39.51460599899292
nan,nan,40960,0.03321232600574149,0.12553711235523224,0.09599609673023224,0.08530273288488388,0.09531249850988388,0.100537109375,0.009765021811472253,0.0526209021336399,10.0,17.23250167965889,20,0.00028831967213114755,99.0,220.39188560289622,20,-0.017577249403257156,0.675328672491014,41.5977509021759
221.91571165673457,3.5188476905476036,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.989990234375
nan,nan,43008,0.03740593060356332,0.15195313096046448,0.126708984375,0.09404297173023224,0.08720703423023224,0.11497802734375,0.01185625374200754,0.0658254051581025,10.0,17.21475722193718,21,0.00028770491803278684,98.0952380952381,221.3837545063191,21,-0.021813840756658466,0.6042777835391462,44.085585832595825
nan,nan,45056,0.029849383928376483,0.09853515774011612,0.09121093899011612,0.08544921875,0.086669921875,0.09046630859375,0.010524185693066101,0.055096596176736054,10.0,17.137427926063538,22,0.0002870901639344262,99.38095238095238,225.18952030178332,21,-0.019881381601589965,0.4825441338121891,46.18796491622925
nan,nan,47104,0.037043713689490686,0.14145508408546448,0.11699219048023224,0.095458984375,0.09765625,0.112890625,0.010260513989487663,0.056088485708460215,10.0,17.159810531139374,23,0.00028647540983606554,101.9,230.53595231761147,20,-0.021955035685095936,0.48038063473068177,48.31326699256897
nan,nan,49152,0.02572880717780208,0.09282226860523224,0.06503906100988388,0.05908203125,0.068603515625,0.07138671875,0.007245915792009327,0.046600807504728434,10.0,17.21952450275421,24,0.0002858606557377049,99.23809523809524,224.67924586209085,21,-0.01366863671464671,1.9627662766724825,50.38614797592163
nan,nan,51200,0.016738628689199685,0.07841797173023224,0.03818359225988388,0.02802734449505806,0.02089843712747097,0.0413818359375,0.008362165473226924,0.06546928990283049,10.0,17.027804440259935,25,0.00028524590163934424,98.8,224.53074422818858,20,-0.009669902827226906,3.6144892891868947,52.40567708015442
228.81601077919146,6.994995022047313,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52.8065230846405
nan,nan,53248,0.016899339895462617,0.04692382737994194,0.04238281399011612,0.04243164137005806,0.03837890550494194,0.042529296875,0.005761959580559051,0.049208608351182195,10.0,17.07942607998848,26,0.0002846311475409836,95.27272727272727,211.7444948270615,22,-0.011951819174646517,29.771197091042996,54.78317594528198
nan,nan,55296,0.03377453353459714,0.10361327975988388,0.10170898586511612,0.09404297173023224,0.09653320163488388,0.098974609375,0.009749633268802427,0.0558306920924224,10.0,17.155384224653243,27,0.00028401639344262294,102.2,231.69723085255754,20,-0.01773309306372539,0.8382754949852824,56.8540301322937
nan,nan,57344,0.030327590317756403,0.11284179985523224,0.076171875,0.07265625149011612,0.09487304836511612,0.0891357421875,0.007055799211957492,0.034126469917828216,10.0,17.21653903722763,28,0.0002834016393442623,103.5,235.47455616397582,20,-0.013783818688716564,0.4229171416256577,58.912801027297974
nan,nan,59392,0.0375339448946761,0.17807617783546448,0.13496093451976776,0.08559570461511612,0.069091796875,0.11693115234375,0.01133219853945775,0.2346494908677414,10.0,17.217017751932143,29,0.00028278688524590163,100.25,226.0013088779111,20,-0.00879076862038346,36.01864187894389,60.922574043273926
nan,nan,61440,0.02947119212258258,0.09438476711511612,0.08872070163488388,0.07587890326976776,0.07900390774011612,0.0844970703125,0.008482190486392937,0.044335178047185765,10.0,17.17403162121773,30,0.00028217213114754093,105.36842105263158,234.6608420029442,19,-0.014016368824377423,0.5779543512500822,62.98577094078064
235.05157349264482,2.460194756120876,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63.39366292953491
nan,nan,63488,0.03105371632555034,0.11118163913488388,0.08749999850988388,0.08847656100988388,0.09345702826976776,0.09515380859375,0.008871023850224447,0.047792439738987016,10.0,17.18176143169403,31,0.0002815573770491803,106.25,236.3246401301413,20,-0.021244420421862743,0.46039065923541783,65.36633396148682
nan,nan,65536,0.016620677104219793,0.06440429389476776,0.04658203199505806,0.02841796912252903,0.02304687537252903,0.04061279296875,0.007767551498545799,0.12623147896956652,10.0,17.010466343164445,32,0.0002809426229508196,97.57142857142857,217.7232790642032,21,-0.009265388994754176,67.96023802235723,67.30148196220398
nan,nan,67584,0.031000432244763943,0.1416015625,0.09609375149011612,0.06479492038488388,0.07578124850988388,0.09456787109375,0.010742298842524178,0.06284176397020928,10.0,17.07261217236519,33,0.00028032786885245903,104.73684210526316,237.6240244959256,19,-0.015700076166467625,0.6322161769028753,69.3114709854126
nan,nan,69632,0.035924802446970716,0.15854492783546448,0.10712890326976776,0.08427734673023224,0.09326171875,0.11080322265625,0.011946955548773985,0.06268474198877812,10.0,17.133861583471298,34,0.0002797131147540983,103.75,237.7901187341858,20,-0.020826476940965222,0.3860348727088422,71.31795597076416
