eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.034617483552574414,0.11201171576976776,0.12333984673023224,0.11005859076976776,0.11362304538488388,0.11475830078125,17.19688646197319,0.34548254031687975,1,0.0003,18.916666666666668,14.039258754853405,108,-0.04880281796504278,10.628821530938149,1.9527769088745117
,,4096,0.018307496068882757,0.04326171800494194,0.04843749850988388,0.04575195163488388,0.0498046875,0.04681396484375,17.05799630880356,0.39602159247733654,2,0.0002993852459016393,38.67307692307692,52.97995532725142,52,-0.030953477864386514,70.00682220458984,4.129019021987915
,,6144,0.021334062884852754,0.06557617336511612,0.05976562574505806,0.05961913987994194,0.055419921875,0.06009521484375,17.036362582445143,0.3776750556658953,3,0.00029877049180327867,43.125,73.93070814813412,48,-0.029263478983193637,88.08521378040314,6.174530029296875
,,8192,0.020490173273719846,0.04951171949505806,0.05073242262005806,0.06269530951976776,0.05708007887005806,0.0550048828125,17.143075543642045,0.38916704352013765,4,0.000298155737704918,51.575,89.76556317427666,40,-0.026573074268526398,91.68796662092208,8.38987398147583
,,10240,0.020521908170485402,0.05532226711511612,0.06303711235523224,0.06210937350988388,0.05556640774011612,0.0590087890625,17.092719161510466,0.4602188866119832,5,0.00029754098360655737,63.40625,121.80060961439128,32,-0.058583572618590554,81.29242097735406,10.437358140945435
167.1380866115214,3.528356286588358,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.767491102218628
nan,nan,12288,0.02407436439243611,0.06059570237994194,0.06474609673023224,0.07421875,0.07465820014476776,0.0685546875,17.07207680940628,0.44113388932310044,6,0.0002969262295081967,65.74193548387096,126.55547389876631,31,-0.058575705901603214,87.80206596851349,13.041234970092773
nan,nan,14336,0.026062606319464977,0.08823242038488388,0.08408202975988388,0.072509765625,0.05991210788488388,0.07618408203125,17.123952531814574,0.30559863813687116,7,0.00029631147540983607,80.92,157.86102610959153,25,-0.04069972325232811,24.615441535413265,15.114245176315308
nan,nan,16384,0.03201636445664917,0.11660156399011612,0.1005859375,0.09033203125,0.08505859225988388,0.09814453125,17.054890900850296,0.21535721353720874,8,0.00029569672131147536,85.33333333333333,168.96751208286668,24,-0.02727423373435158,4.492600510641933,17.40246295928955
nan,nan,18432,0.03695272223631037,0.11992187798023224,0.12446288764476776,0.10791015625,0.11625976860523224,0.117138671875,17.15919293165207,0.38512374929850923,9,0.0002950819672131147,81.68,157.1159995894626,25,-0.06287907964069746,16.603628303855658,19.511700868606567
