eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.02311731948138913,0.05830078199505806,0.07744140923023224,0.06528320163488388,0.05537109449505806,0.06409912109375,17.078333777189254,0.3084267345722765,1,0.0003,17.47008547008547,13.172571663990064,117,-0.006673360297645559,10.086769507080316,2.1041419506073
,,4096,0.013987907279806677,0.02597656287252903,0.03583984449505806,0.03125,0.02348632737994194,0.02913818359375,17.023152583837508,0.4545151052065194,2,0.0002993852459016393,34.50847457627118,47.106422091769744,59,0.001686676006647758,69.87968125343323,4.184502840042114
,,6144,0.019078880115557695,0.05302734300494194,0.05800781399011612,0.05043945461511612,0.05097656324505806,0.05311279296875,17.05520577430725,0.35447875373065474,3,0.00029877049180327867,44.82608695652174,74.02685011285206,46,-0.013181743831955828,76.35457043647766,6.275387763977051
,,8192,0.015267175592452987,0.03339843824505806,0.03925781324505806,0.03559570387005806,0.031494140625,0.0349365234375,17.120260602235795,0.48310316083952787,4,0.000298155737704918,62.0625,111.49522517870237,32,-0.043744837027043106,86.12581620216369,8.4196138381958
,,10240,0.013128068617515965,0.02602539025247097,0.0322265625,0.03046875074505806,0.02534179762005806,0.028515625,17.0417499601841,0.44861198160797355,5,0.00029754098360655737,86.16666666666667,170.91316418485198,24,-0.06170664012606721,77.1521843969822,10.581827878952026
222.1705404836799,3.9333838306095568,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.970011949539185
nan,nan,12288,0.016808792037772947,0.04072265699505806,0.043701171875,0.03793945163488388,0.03867187350988388,0.0402587890625,17.0025554895401,0.46925741801969706,6,0.0002969262295081967,81.92,167.87671253268292,25,-0.06325408228149172,109.58459179401397,13.18073582649231
nan,nan,14336,0.018921452506037894,0.04770507663488388,0.04990234225988388,0.05126953125,0.05058593675494194,0.04986572265625,17.10738623738289,0.3062990643084049,7,0.00029631147540983607,94.27272727272727,204.83215247620763,22,-0.009735485183773563,32.83265754282475,15.343028783798218
nan,nan,16384,0.019187503851571818,0.03476562350988388,0.05180663987994194,0.06093750149011612,0.05805664137005806,0.0513916015625,17.01638396978378,0.4017275026300922,8,0.00029569672131147536,83.5,173.69851529415766,24,-0.044679525124956855,58.249537748098376,17.557350873947144
nan,nan,18432,0.021080568296019918,0.051025390625,0.06137695163488388,0.06044922024011612,0.05488281324505806,0.05693359375,17.09970831274986,0.3481377422111109,9,0.0002950819672131147,97.23809523809524,213.13833365958195,21,-0.010919892942183651,17.26296491920948,19.730048894882202
nan,nan,20480,0.01706320525117917,0.042236328125,0.04819335788488388,0.04511718824505806,0.03374023362994194,0.04232177734375,17.170138794183732,0.35358591441763565,10,0.00029446721311475406,93.95454545454545,208.26563567626772,22,-0.040888892085058616,28.12036715000868,22.006798028945923
215.73344698647944,3.0230909902731296,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.380817890167236
nan,nan,22528,0.02362596777093131,0.05366211012005806,0.078369140625,0.07353515923023224,0.05649413913488388,0.06551513671875,17.171248072385787,0.37608592147007586,11,0.0002938524590163934,94.95454545454545,211.38884852370109,22,-0.03434365056527895,9.006263978034259,24.675229787826538
nan,nan,24576,0.015877549492870457,0.02744140662252903,0.03750000149011612,0.04404296725988388,0.03779296949505806,0.0366943359375,17.17797480225563,0.4200946373399347,12,0.00029323770491803276,82.04166666666667,172.87837174146526,24,-0.05171591717225965,75.71555192470551,26.95789885520935
nan,nan,26624,0.015214799440582284,0.02841796912252903,0.039794921875,0.03730468824505806,0.03242187574505806,0.03448486328125,17.138156753778457,0.4691414689878002,13,0.0002926229508196721,90.78260869565217,199.91097529015727,23,-0.059772214118856935,49.95695676505566,29.191154718399048
