eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.008114326362010616,0.012451171875,0.01376953162252903,0.01918945275247097,0.02241211012005806,0.0234375,0.01840820349752903,0.01875000074505806,0.022705078125,0.01254882849752903,0.013134765438735485,0.01318359375,0.01572265662252903,0.01528320275247097,0.01845703087747097,0.01762695237994194,0.01777343824505806,0.0171783447265625,136.22794909477233,1,0.0003,1000.0,-471.98466287526946,2,-0.006369477900443598,26.11860255599022,6.827455282211304
,,4096,0.015703513274092983,0.025146484375,0.029541015625,0.03950195387005806,0.04169921949505806,0.042236328125,0.04624023288488388,0.04160156100988388,0.04008788987994194,0.02739257737994194,0.03466796875,0.03759765625,0.03251953050494194,0.04096679762005806,0.03310547024011612,0.03593749925494194,0.03515625,0.03646240234375,136.47286281585693,2,0.0002993852459016393,1000.0,-530.6451625650645,2,-0.010729965340578929,14.814329038560391,13.441968202590942
,,6144,0.012068899634687113,0.014355468563735485,0.01894531212747097,0.02519531175494194,0.02548828162252903,0.02583007887005806,0.02753906324505806,0.03125,0.031005859375,0.017822265625,0.017822265625,0.01767578162252903,0.02158203162252903,0.02060546912252903,0.02241211012005806,0.01962890662252903,0.01997070387005806,0.022320556640625,136.43103108406066,3,0.00029877049180327867,1000.0,-410.96012464834934,2,-0.009865084532066248,27.643504762649535,20.231962203979492
,,8192,0.019839501347269105,0.0400390625,0.04038085788488388,0.06015624850988388,0.060791015625,0.06132812425494194,0.06088867038488388,0.05864257737994194,0.05439453199505806,0.04379882663488388,0.041748046875,0.04829101637005806,0.04990234225988388,0.05302734300494194,0.047607421875,0.05263672024011612,0.04897461086511612,0.0514129638671875,136.55513405799866,4,0.000298155737704918,1000.0,-488.7442429908703,2,-0.014710975039633922,16.94724503159523,27.232474088668823
,,10240,0.018067117198006598,0.03935546800494194,0.04570312425494194,0.04555664211511612,0.04873047024011612,0.043212890625,0.04599609225988388,0.04819335788488388,0.04672851413488388,0.04218750074505806,0.03837890550494194,0.04604492336511612,0.04287109524011612,0.046875,0.05014648288488388,0.04877929762005806,0.042236328125,0.045062255859375,136.5450469493866,5,0.00029754098360655737,1000.0,-517.0903685541173,2,-0.01436768380808644,14.376640750467777,34.30333995819092
-348.3143893033645,46.055245125592656,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.576416015625
nan,nan,12288,0.024074686349013063,0.05498046800494194,0.04946289211511612,0.07460937649011612,0.08388672024011612,0.08383788913488388,0.07797851413488388,0.076416015625,0.08627929538488388,0.05312500149011612,0.05942382663488388,0.05776367336511612,0.06308593600988388,0.07050780951976776,0.06821288913488388,0.06977538764476776,0.07504882663488388,0.069024658203125,136.84445910453798,6,0.0002969262295081967,1000.0,-499.14161897001895,2,-0.01654486449697288,11.722283944487572,58.64379692077637
nan,nan,14336,0.017235205070392112,0.02915039099752903,0.03730468824505806,0.04594726487994194,0.04580078274011612,0.05380859225988388,0.05048828199505806,0.04404296725988388,0.04833984375,0.03066406212747097,0.03608398512005806,0.04018554836511612,0.04194336012005806,0.03950195387005806,0.03857421875,0.03984374925494194,0.04501952975988388,0.041668701171875,136.30448226928712,7,0.00029631147540983607,1000.0,-460.34966815471364,2,-0.012427072794525883,20.809229266643523,65.53374409675598
nan,nan,16384,0.02382903767447715,0.05122070387005806,0.04995117336511612,0.07612304389476776,0.072265625,0.07490234076976776,0.07973632961511612,0.08193359524011612,0.07988281548023224,0.05810546875,0.06362304836511612,0.05903320387005806,0.06132812425494194,0.06557617336511612,0.06000976637005806,0.06806640326976776,0.07656250149011612,0.06739501953125,136.5988209247589,8,0.00029569672131147536,1000.0,-414.8264895965078,2,-0.018687968424637803,14.04682528078556,72.28770518302917
nan,nan,18432,0.024590020779214683,0.04819335788488388,0.04604492336511612,0.07778320461511612,0.09033203125,0.08647461235523224,0.09150390326976776,0.09160156548023224,0.08930663764476776,0.04975586012005806,0.05024414137005806,0.05356445163488388,0.05463867262005806,0.06943359225988388,0.06440429389476776,0.066650390625,0.07016601413488388,0.068756103515625,136.72360043525697,9,0.0002950819672131147,1000.0,-395.37756931023563,2,-0.018785501185629983,11.39625074416399,79.22532820701599
