eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.033228548723855056,0.09726562350988388,0.11440429836511612,0.1058349609375,17.149877345561983,1,0.0003,1000.0,-420.6573934713083,2,-0.04048782198515255,15.84898542612791,3.535633087158203
,,4096,0.04615967131394427,0.14321288466453552,0.15366211533546448,0.1484375,17.114119577407838,2,0.0002993852459016393,1000.0,-420.2983236723238,2,-0.057605705078458413,8.202994788438081,8.64778208732605
,,6144,0.04388291808863869,0.14731445908546448,0.15341797471046448,0.1503662109375,17.07873464822769,3,0.00029877049180327867,1000.0,-367.0593627268923,2,-0.05703847412369214,12.426750312745572,12.858866214752197
,,8192,0.051991381058178375,0.16606445610523224,0.17270508408546448,0.169384765625,17.132670587301256,4,0.000298155737704918,1000.0,-434.8939637869216,2,-0.06260090516589116,15.468434448540211,18.343342065811157
,,10240,0.05604869178205263,0.18417969346046448,0.18549804389476776,0.1848388671875,17.0897232234478,5,0.00029754098360655737,1000.0,-352.74437131536354,2,-0.06999061935639475,14.781024922430515,25.220335960388184
-257.74861677080037,55.65622501786087,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.467905044555664
nan,nan,12288,0.06558014878246468,0.19843749701976776,0.22304686903953552,0.2107421875,17.15787065625191,6,0.0002969262295081967,1000.0,-432.2720971113728,2,-0.06430008748720865,12.926108376681805,34.23874807357788
nan,nan,14336,0.06675211665133247,0.21684570610523224,0.22187499701976776,0.2193603515625,17.154617184400557,7,0.00029631147540983607,1000.0,-350.4406519030143,2,-0.07616012797807344,13.796261917054654,37.80562996864319
nan,nan,16384,0.09369833282835316,0.2744140625,0.2869628965854645,0.2806884765625,17.196985471248627,8,0.00029569672131147536,1000.0,-365.735548830899,2,-0.07400397657474969,9.52562029659748,41.147444009780884
nan,nan,18432,0.09248012007155922,0.25732421875,0.2825683653354645,0.2699462890625,17.273444670438767,9,0.0002950819672131147,1000.0,-268.0483186648811,2,-0.07561489876534325,10.470414066314698,45.42382788658142
nan,nan,20480,0.08741440843150486,0.2577148377895355,0.2771972715854645,0.2674560546875,17.16065779924393,10,0.00029446721311475406,1000.0,-320.91123148641844,2,-0.07774329227104318,12.079580521583557,49.50828790664673
-199.5167404485157,37.43221506881675,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55.69933199882507
nan,nan,22528,0.06065146792097949,0.184326171875,0.20170898735523224,0.193017578125,17.16201120018959,11,0.0002938524590163934,1000.0,-305.352261838097,2,-0.06938246473146137,20.318317130208015,59.80038499832153
nan,nan,24576,0.0855050166559522,0.24770507216453552,0.2726074159145355,0.26015625,17.09238618016243,12,0.00029323770491803276,1000.0,-317.6010860194367,2,-0.08126605640572962,16.21983093470335,63.42632222175598
nan,nan,26624,0.08016716967831598,0.24912109971046448,0.24794921278953552,0.24853515625,17.16760751605034,13,0.0002926229508196721,1000.0,-308.50171669929966,2,-0.08425150559050962,21.59007758498192,67.15101790428162
nan,nan,28672,0.11263332544476726,0.2982421815395355,0.3094238340854645,0.3038330078125,17.21480401754379,14,0.00029200819672131145,1000.0,-335.9312625664827,2,-0.08464442846889142,13.929750014841556,69.81008815765381
nan,nan,30720,0.1511360480202711,0.36503905057907104,0.395263671875,0.3801513671875,17.354422414302825,15,0.0002913934426229508,1000.0,-235.61818894478535,2,-0.08354097366973293,10.114093101769686,73.1045470237732
-169.4155741564453,70.70972012377932,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.44766497612
nan,nan,32768,0.1054416612139903,0.2763671875,0.32172852754592896,0.2990478515625,17.27608786225319,16,0.00029077868852459015,1000.0,-242.97431543027778,2,-0.08029041183763183,11.24853323251009,83.88027906417847
nan,nan,34816,0.17504559471999528,0.3812499940395355,0.4019531309604645,0.3916015625,17.367303574085234,17,0.00029016393442622945,1000.0,-285.1781880136415,2,-0.06869834450189956,7.23121779486537,87.68336200714111
nan,nan,36864,0.06617380196694285,0.20712891221046448,0.22319336235523224,0.2151611328125,17.16866244673729,18,0.00028954918032786885,1000.0,-344.7675878395504,2,-0.08840394479921088,15.667757096886636,91.15820598602295
nan,nan,38912,0.08411016282625497,0.24384765326976776,0.27001953125,0.25693359375,17.141407597064973,19,0.0002889344262295082,1000.0,-245.96230526745427,2,-0.08497671608347446,12.886155717074871,94.44132900238037
