eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.010300539268064313,0.145849609375,68.0852041721344,1,0.0003,1000.0,-471.2474807224911,2,-0.03305873112694826,11.973385474085807,5.919870853424072
,,4096,0.008956939014024102,0.122021484375,68.06335082054139,2,0.0002993852459016393,1024.0,-543.7209838970414,2,-0.036047411152685525,19.132074357569216,13.326862096786499
,,6144,0.017300090391654522,0.2453125,68.08651888370514,3,0.00029877049180327867,1024.0,-504.86375646838565,2,-0.05108328764035832,12.938650879263879,18.858793020248413
,,8192,0.021895713463891298,0.28759765625,68.12402482032776,4,0.000298155737704918,1024.0,-463.52404068555404,2,-0.05391053739149356,10.564562164247036,24.093721866607666
,,10240,0.01764130930241663,0.2478515625,68.08069474697113,5,0.00029754098360655737,1024.0,-499.1611476015904,2,-0.05076424402941484,17.0620278686285,29.596701860427856
-263.85315541979367,88.56132667707847,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.746397972106934
nan,nan,12288,0.022911211743485184,0.30029296875,68.15323605537415,6,0.0002969262295081967,1024.0,-495.03036696072843,2,-0.05766552918357774,12.88536368906498,46.420217752456665
nan,nan,14336,0.028105595501256176,0.3404296875,68.26402485370636,7,0.00029631147540983607,1024.0,-513.0300721394233,2,-0.05628948936209781,13.555940879881382,50.85562181472778
nan,nan,16384,0.014288031251635403,0.2009765625,68.0788289308548,8,0.00029569672131147536,1024.0,-495.3396171081235,2,-0.04662394790793769,24.906820303201677,55.2220458984375
nan,nan,18432,0.034540714431204836,0.396142578125,68.21571707725525,9,0.0002950819672131147,1024.0,-402.42000362168653,2,-0.06368968495225999,12.373861007392406,60.657713890075684
nan,nan,20480,0.0338854198489571,0.37744140625,68.28309586048127,10,0.00029446721311475406,1024.0,-483.15507536477054,2,-0.061990446141862776,13.21027737557888,66.33380508422852
-257.00910846322716,76.34744548172729,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.51376295089722
nan,nan,22528,0.021001416869694367,0.290087890625,68.16109895706177,11,0.0002938524590163934,1024.0,-537.7443874490097,2,-0.06364182828401681,25.482712256908417,81.83647394180298
