eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.014587679574106005,0.032958984375,0.03374023362994194,0.03408203274011612,0.03813476487994194,0.04072265699505806,0.03969726711511612,0.04316406324505806,0.03593749925494194,0.0373046875,68.18144967556,1,0.0003,1000.0,-388.6974355067765,2,-0.01148538947745692,13.089899687469005,4.900171995162964
,,4096,0.01711900678710663,0.03603515774011612,0.04038085788488388,0.04204101487994194,0.04096679762005806,0.04262695461511612,0.045654296875,0.048828125,0.04545898362994194,0.0427490234375,68.21917445659638,2,0.0002993852459016393,1000.0,-517.6196216515317,2,-0.0164596977410838,15.164622437953948,10.306528091430664
,,6144,0.02266391331286286,0.05019531399011612,0.05415039137005806,0.06342773139476776,0.06606445461511612,0.06376953423023224,0.06899414211511612,0.06230468675494194,0.06645508110523224,0.061920166015625,68.25877375602722,3,0.00029877049180327867,1000.0,-506.6832430333668,2,-0.02140951726323692,13.200489991903305,15.948173761367798
,,8192,0.021065369366988308,0.04570312425494194,0.05488281324505806,0.04995117336511612,0.05791015550494194,0.05644531175494194,0.06328125298023224,0.06582031399011612,0.06264648586511612,0.057080078125,68.26939718723297,4,0.000298155737704918,1000.0,-519.095556273136,2,-0.02123634404852055,30.058377668261528,19.716508865356445
,,10240,0.021401236283418258,0.05507812649011612,0.04921875149011612,0.05434570461511612,0.05898437649011612,0.06577148288488388,0.06186523288488388,0.06464843451976776,0.06313476711511612,0.059130859375,68.25182461738586,5,0.00029754098360655737,1000.0,-453.5098522648119,2,-0.021705091890180484,21.32622432410717,23.888770818710327
-422.1306657193215,110.91474787273408,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.49895000457764
nan,nan,12288,0.033873018432495884,0.08583984524011612,0.0908203125,0.10000000149011612,0.10283203423023224,0.11430664360523224,0.11831054836511612,0.11679687350988388,0.11625976860523224,0.105645751953125,68.43435873985291,6,0.0002969262295081967,1000.0,-387.5035966395367,2,-0.027872096971259454,13.011416254937648,38.03476881980896
nan,nan,14336,0.035911008151015264,0.10161133110523224,0.09707031399011612,0.10727538913488388,0.10966797173023224,0.12070312350988388,0.12075195461511612,0.122314453125,0.11713866889476776,0.112066650390625,68.55279638767243,7,0.00029631147540983607,1000.0,-375.1150556167149,2,-0.031026696946355514,10.7209247097373,43.41670298576355
nan,nan,16384,0.03207001012524415,0.08242187649011612,0.09389648586511612,0.09072265774011612,0.09150390326976776,0.11083984375,0.11079101264476776,0.102294921875,0.11445312201976776,0.099615478515625,68.34404628276825,8,0.00029569672131147536,1000.0,-446.5324701412763,2,-0.030215334409149364,14.231620694696904,47.61765503883362
nan,nan,18432,0.027637345339462625,0.072021484375,0.07685546576976776,0.07749023288488388,0.08613280951976776,0.085205078125,0.08266601711511612,0.08896484225988388,0.08544921875,0.08184814453125,68.419629073143,9,0.0002950819672131147,1000.0,-421.19136907415015,2,-0.028339863057772162,20.602081491053106,51.173601150512695
