eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.005945224261813565,0.05986328050494194,0.06582031399011612,0.07573242485523224,0.09492187201976776,0.07408447265625,34.06854045391083,1,0.0003,1000.0,-520.3649944885606,2,-0.013520956260617823,21.370229741930963,2.30218505859375
,,4096,0.007752084956882755,0.0927734375,0.10307617485523224,0.10205078125,0.11406250298023224,0.10299072265625,33.97915018796921,2,0.0002993852459016393,1000.0,-517.319689492344,2,-0.020119218539912255,15.974254958331585,4.5896830558776855
,,6144,0.010327745098038577,0.11860351264476776,0.13232421875,0.149658203125,0.16049805283546448,0.14027099609375,34.205781686306,3,0.00029877049180327867,1000.0,-448.62249269768944,2,-0.023988715317682364,11.174588218331337,6.896011829376221
,,8192,0.007052262065553805,0.07651367038488388,0.08642578125,0.09589843451976776,0.10947265475988388,0.09207763671875,34.07949386835098,4,0.000298155737704918,1000.0,-412.8122206176107,2,-0.020175311711500398,15.209335263073445,9.114353895187378
,,10240,0.011079165738919983,0.12919922173023224,0.14858397841453552,0.16826172173023224,0.17080077528953552,0.15421142578125,34.083436930179595,5,0.00029754098360655737,1000.0,-461.5617605082767,2,-0.028221071045845748,10.80459217876196,11.431031942367554
-223.9069112685549,85.96566416762846,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.855252027511597
nan,nan,12288,0.009443237610685173,0.115966796875,0.12675781548023224,0.13222655653953552,0.13334961235523224,0.1270751953125,34.05017304420471,6,0.0002969262295081967,1000.0,-415.87026386742707,2,-0.025356789788929746,15.878781290352345,17.989906072616577
nan,nan,14336,0.010975948862324003,0.13623046875,0.14443358778953552,0.154541015625,0.168212890625,0.1508544921875,34.124370110034945,7,0.00029631147540983607,1000.0,-452.53019101911195,2,-0.027270736255741213,15.189283008873463,20.274197816848755
nan,nan,16384,0.013839766450109892,0.18217773735523224,0.18984374403953552,0.18881836533546448,0.21533203125,0.19404296875,34.18546724319458,8,0.00029569672131147536,1000.0,-385.6318913042279,2,-0.02976356405997649,14.474625118076801,22.54375982284546
nan,nan,18432,0.009925541337725007,0.11977539211511612,0.13286133110523224,0.13618163764476776,0.14560547471046448,0.13360595703125,34.06823076009751,9,0.0002950819672131147,1000.0,-452.4219095072193,2,-0.02781336840125732,26.89126383960247,24.787680864334106
nan,nan,20480,0.012336561781557976,0.15537109971046448,0.16074219346046448,0.16513672471046448,0.18959960341453552,0.16771240234375,34.22129510641098,10,0.00029446721311475406,1000.0,-313.81996790654654,2,-0.02851854690234177,20.936420959234237,27.080004930496216
-101.80631742407216,69.99498992440178,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.78878593444824
nan,nan,22528,0.010252425595535897,0.13398437201976776,0.14003905653953552,0.14106445014476776,0.15385742485523224,0.142236328125,34.105366337299344,11,0.0002938524590163934,1000.0,-360.83347115425454,2,-0.026848348771454766,31.572119182348253,35.849929094314575
nan,nan,24576,0.011259119978058152,0.15957030653953552,0.15458984673023224,0.16215820610523224,0.15800781548023224,0.15858154296875,34.09364483356476,12,0.00029323770491803276,1000.0,-452.64435527437854,2,-0.028898495822795668,32.730700719356534,38.445817947387695
nan,nan,26624,0.02137509832100477,0.25146484375,0.2599121034145355,0.268310546875,0.285888671875,0.26639404296875,34.18313057422638,13,0.0002926229508196721,1000.0,-407.18223886169017,2,-0.030942636288818902,13.205107520520688,40.75409173965454
nan,nan,28672,0.01696990195196122,0.21352538466453552,0.20937499403953552,0.23369140923023224,0.238525390625,0.223779296875,34.090520763397215,14,0.00029200819672131145,1000.0,-352.9040325133135,2,-0.03149736332561588,14.269039645791054,43.01898980140686
nan,nan,30720,0.018663643363834127,0.228515625,0.2265625,0.2509765625,0.25556641817092896,0.2404052734375,34.13076972961426,15,0.0002913934426229508,1000.0,-305.69955202398046,2,-0.032397280001896435,13.239080214500428,45.4294490814209
-160.85657804810876,99.9678533034088,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.346351861953735
nan,nan,32768,0.016916654154192655,0.19858399033546448,0.21733398735523224,0.23349609971046448,0.24794921278953552,0.2243408203125,34.25410759449005,16,0.00029077868852459015,1000.0,-418.2852203117358,2,-0.032701837373315355,14.207795041799546,52.581984758377075
nan,nan,34816,0.015083437039720593,0.19965820014476776,0.20317383110523224,0.20346680283546448,0.2255859375,0.20797119140625,34.11496422290802,17,0.00029016393442622945,1000.0,-381.47079232926785,2,-0.033106526226038116,16.588669441640377,54.92067098617554
nan,nan,36864,0.015537910701095826,0.18955078721046448,0.19873046875,0.220458984375,0.21547850966453552,0.2060546875,34.044479525089265,18,0.00028954918032786885,1000.0,-192.79217962356768,2,-0.032850544070242904,16.090567147731782,57.138882875442505
nan,nan,38912,0.023803627046436304,0.2576660215854645,0.28935545682907104,0.30229490995407104,0.3124023377895355,0.2904296875,34.11257050037384,19,0.0002889344262295082,1000.0,-302.8646719338481,2,-0.03457898453634698,11.295409281551837,59.36418390274048
nan,nan,40960,0.011726500419172226,0.14609375596046448,0.16079100966453552,0.16923828423023224,0.17714843153953552,0.16331787109375,34.135704207420346,20,0.00028831967213114755,1000.0,-454.9401226467995,2,-0.03055308022594545,29.252470847964286,61.666369915008545
-128.16434156152872,74.96839259350745,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66.25535178184509
nan,nan,43008,0.0187773659483355,0.2197265625,0.23525390028953552,0.24843749403953552,0.26347655057907104,0.2417236328125,34.11259562969208,21,0.00028770491803278684,1000.0,-275.4364328606894,3,-0.03369767442345619,13.361616495251656,68.5530469417572
nan,nan,45056,0.027300140140141593,0.2967773377895355,0.318359375,0.31879884004592896,0.3402343690395355,0.31854248046875,34.28311710357666,22,0.0002870901639344262,1000.0,-344.024697824708,2,-0.03482425487891305,9.06720923036337,70.91492891311646
nan,nan,47104,0.013826311453885864,0.169677734375,0.18203124403953552,0.20395508408546448,0.20913085341453552,0.19119873046875,34.12236522436142,23,0.00028647540983606554,1000.0,-269.81926009260417,2,-0.03225572108349297,18.102990382909773,73.21108889579773
nan,nan,49152,0.01567377075261902,0.187255859375,0.20253905653953552,0.21796874701976776,0.22114257514476776,0.2072265625,34.28972194194794,24,0.0002858606557377049,1000.0,-178.38174736180804,2,-0.03360759017523378,15.36908567994833,75.4217758178711
nan,nan,51200,0.013874288553051884,0.18061523139476776,0.17832031846046448,0.1982421875,0.20366211235523224,0.1902099609375,34.02798678874969,25,0.00028524590163934424,1000.0,-294.21570611358516,2,-0.03490801205625758,22.102769976854326,77.60714197158813
-139.85766250430459,47.92759865177586,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,82.26678776741028
nan,nan,53248,0.02997650940233143,0.31171876192092896,0.31884765625,0.34453123807907104,0.3583984375,0.3333740234375,34.13385815620423,26,0.0002846311475409836,1000.0,-400.5644927838131,2,-0.03347018903004937,9.558012972772122,85.37471795082092
nan,nan,55296,0.021407985407131493,0.25688475370407104,0.2674316465854645,0.2710937559604645,0.27973634004592896,0.26878662109375,34.22656373977661,27,0.00028401639344262294,1000.0,-261.3267729066628,2,-0.035299749669502486,12.565912471711636,89.13336300849915
nan,nan,57344,0.013627067636844004,0.15761718153953552,0.1767578125,0.18955078721046448,0.20659179985523224,0.18262939453125,34.050505661964415,28,0.0002834016393442623,1000.0,-325.0532517633471,2,-0.03352890490059508,17.877275785803796,91.91761994361877
nan,nan,59392,0.017125963531725574,0.21420899033546448,0.22084960341453552,0.23188476264476776,0.24658203125,0.22838134765625,34.02107076644897,29,0.00028278688524590163,1000.0,-337.1609032149986,2,-0.03647837206808617,16.322004888951778,94.48055291175842
