eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/fisher_eps_step_0,train/fisher_eps_step_1,train/fisher_eps_step_2,train/fisher_eps_step_3,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.006392035425233189,0.073974609375,0.078857421875,0.08041992038488388,0.08564452826976776,0.07972412109375,34.176310420036316,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,1,0.0003,1000.0,-473.0056137991439,2,-0.014213746870518662,16.95986902117729,1.5602507591247559
,,4096,0.007178637199831428,0.08071289211511612,0.09804687649011612,0.09174804389476776,0.10146484524011612,0.0929931640625,34.054533743858336,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,2,0.0002993852459016393,1000.0,-318.244541799134,2,-0.018098502603243104,13.584426073729992,3.1585769653320312
,,6144,0.00843284669390414,0.10092773288488388,0.11391601711511612,0.11240234225988388,0.124267578125,0.11287841796875,34.01011509895325,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,3,0.00029877049180327867,1000.0,-459.50627903229645,2,-0.02223956292436924,13.650547364354134,4.8082146644592285
,,8192,0.009290629180759425,0.10795898735523224,0.12973633408546448,0.12465820461511612,0.13818359375,0.12513427734375,34.13378654718399,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,4,0.000298155737704918,1000.0,-411.8123787670453,2,-0.02224872755177785,12.473111908137799,6.31276798248291
,,10240,0.009541144961985992,0.11918945610523224,0.12197265774011612,0.13999024033546448,0.14897461235523224,0.13253173828125,34.15208863019943,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,5,0.00029754098360655737,1000.0,-432.2002829683646,2,-0.024097259980044326,13.30433879941702,7.895471811294556
-252.63859842702942,62.650928712996944,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.105118989944458
nan,nan,12288,0.011771833294187673,0.15625,0.16298827528953552,0.17265625298023224,0.17299804091453552,0.16622314453125,34.14268122911453,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,6,0.0002969262295081967,1000.0,-511.0052081650582,2,-0.026866534052533097,13.958322298526763,12.665767908096313
nan,nan,14336,0.013195386180450441,0.173095703125,0.17734375596046448,0.18955078721046448,0.19477538764476776,0.18369140625,34.23732694387436,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,7,0.00029631147540983607,1000.0,-453.18853395714035,2,-0.027425105619477107,13.081024439632893,14.210223913192749
nan,nan,16384,0.011795414687367157,0.15761718153953552,0.15981444716453552,0.15961913764476776,0.17416992783546448,0.16280517578125,33.963496196269986,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,8,0.00029569672131147536,1000.0,-346.5231881319223,2,-0.028741886469651944,12.470219786465169,15.815425872802734
nan,nan,18432,0.01050910588746774,0.14082030951976776,0.14047852158546448,0.14604492485523224,0.14907225966453552,0.14410400390625,34.110904681682584,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,9,0.0002950819672131147,1000.0,-392.62980652021247,2,-0.02590970271558035,19.612422627210616,17.38904094696045
