eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
,,32768,0.0,0.0,17.449400866031645,0.8963364765048027,1,0.0003,1000.5,-373.76767107033163,32,4.358327049762011,6.135820516943932,4.62399435043335,4.62399435043335,4.62399435043335,4.62399435043335,31.544976949691772
,,65536,0.0,0.0,17.428776946663856,0.8792982030659914,2,0.0002993852459016393,1001.0,-371.13979431407915,32,4.346019417047501,4.084676511585712,4.592579364776611,4.592579364776611,4.592579364776611,4.592579364776611,64.44533634185791
,,98304,0.0,0.0,17.419910115003585,0.8786988365463912,3,0.00029877049180327867,1001.0,-358.27535163932714,32,4.343235978484154,3.6246122352778913,4.79937219619751,4.79937219619751,4.79937219619751,4.79937219619751,100.81891298294067
,,131072,0.0,0.0,17.40399385690689,0.8684621787630021,4,0.000298155737704918,1001.0,-359.68245729832233,32,4.3343131728470325,4.243680063262582,5.050368309020996,5.050368309020996,5.050368309020996,5.050368309020996,134.44691967964172
,,163840,0.0,0.0,17.38273469507694,0.8712852810509503,5,0.00029754098360655737,1001.0,-351.2908478355055,32,4.339273858070373,3.805150017514825,5.846482276916504,5.846482276916504,5.846482276916504,5.846482276916504,164.91488981246948
,,196608,0.0,0.0,17.42508110702038,0.8747484784573316,6,0.0002969262295081967,1001.0,-336.2786780535661,32,4.353237625211477,3.9793983805924653,5.57863187789917,5.57863187789917,5.57863187789917,5.57863187789917,193.73519849777222
,,229376,0.0,0.0,17.444527837634087,0.8652860660105943,7,0.00029631147540983607,1001.0,-318.31325810695836,32,4.355352300405502,3.7455225478857757,6.2212443351745605,6.2212443351745605,6.2212443351745605,6.2212443351745605,224.31141710281372
,,262144,0.0,0.0,17.42862648665905,0.8714340146631002,8,0.00029569672131147536,1001.0,-324.707932356476,32,4.342429240047932,3.6810750614851715,6.431086540222168,6.431086540222168,6.431086540222168,6.431086540222168,253.11742115020752
,,294912,0.0,0.0,17.42593043744564,0.8680020583793521,9,0.0002950819672131147,1001.0,-317.92705985913756,32,4.346176724880934,3.5236008491367103,7.062293529510498,7.062293529510498,7.062293529510498,7.062293529510498,282.3888535499573
,,327680,0.0,0.0,17.438960433006287,0.8697716719470918,10,0.00029446721311475406,1001.0,-318.97859739158673,32,4.3507179014384745,4.030487404018641,6.594710350036621,6.594710350036621,6.594710350036621,6.594710350036621,312.50136375427246
,,360448,0.0,0.0,17.42686217725277,0.8680101130157709,11,0.0002938524590163934,1001.0,-337.849866826504,32,4.334544678032398,3.4573076851665974,7.141620635986328,7.141620635986328,7.141620635986328,7.141620635986328,341.91282844543457
