eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/eps_step_0,train/eps_step_1,train/eps_step_2,train/eps_step_3,train/iteration,train/kl_budget_step_0,train/kl_budget_step_1,train/kl_budget_step_2,train/kl_budget_step_3,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,32768,0.0009587264159563347,0.03469238430261612,0.03421631082892418,0.03511352464556694,0.03552856668829918,0.0348876953125,17.453313079476356,0.09731029719114304,0.0984286218881607,0.10095285624265671,0.10254433006048203,1,0.0047575668431818485,0.00485762907192111,0.005110918078571558,0.005273886024951935,0.0003,1000.5,-373.76767107033163,32,-0.0016940577159402892,6.136037390306592,27.919865131378174
,,65536,0.0011748061260732356,0.05021362379193306,0.04948730394244194,0.05028076097369194,0.05008545145392418,0.05001678466796875,17.4332162886858,0.09574895352125168,0.0996209979057312,0.10163682699203491,0.10236743837594986,2,0.004597940482199192,0.004972386639565229,0.00517677515745163,0.0052528977394104,0.0002993852459016393,1001.0,-363.7223025972138,32,-0.002510726086620707,3.946637926623225,56.487465143203735
,,98304,0.0013140961578756104,0.05926513671875,0.06002197414636612,0.05989379808306694,0.05861816555261612,0.05944976806640625,17.424708306789398,0.09437818825244904,0.09866619110107422,0.1028675064444542,0.10330533981323242,3,0.0044684880413115025,0.00487924600020051,0.00530182383954525,0.005350442137569189,0.00029877049180327867,1001.0,-363.43640468880074,32,-0.0029060893124551513,4.159329405426979,88.26176023483276
,,131072,0.001528692221017991,0.07460327446460724,0.07446899265050888,0.07470703125,0.07440795749425888,0.07454681396484375,17.409430623054504,0.09202267974615097,0.09944230318069458,0.10395790636539459,0.10358112305402756,4,0.004249650985002518,0.004954959731549025,0.005416437983512878,0.005378951784223318,0.000298155737704918,1001.0,-352.7341896174413,32,-0.0029696143486944494,3.477537189051509,120.56494760513306
,,163840,0.0015003129671640636,0.07222900539636612,0.07244262844324112,0.07290039211511612,0.07313843071460724,0.0726776123046875,17.387475404143334,0.09437904506921768,0.09735959023237228,0.101964570581913,0.1053772121667862,5,0.004470496904104948,0.004751225933432579,0.005210611037909985,0.005567666608840227,0.00029754098360655737,1001.0,-346.1239247160242,32,-0.002853573426546063,3.77415306083858,146.31601858139038
,,196608,0.0018121354401955613,0.094482421875,0.094085693359375,0.094970703125,0.09486084431409836,0.09459991455078125,17.432120737433433,0.09533312171697617,0.09758194535970688,0.10178013890981674,0.10446583479642868,6,0.004560251720249653,0.004774162545800209,0.0051922909915447235,0.005473294761031866,0.0002969262295081967,1001.0,-331.68362811687086,32,-0.003470369565184228,3.621755989268422,174.4084906578064
,,229376,0.001730183982726885,0.08851929008960724,0.088958740234375,0.08884277194738388,0.08842773735523224,0.0886871337890625,17.450864893198013,0.0961315706372261,0.09842127561569214,0.10119100660085678,0.10357784479856491,7,0.004635731223970652,0.004854939412325621,0.005131569691002369,0.005377759225666523,0.00029631147540983607,1001.0,-335.89975126350845,32,-0.0034749839040159715,3.7232436530292032,200.27831101417542
,,262144,0.0018310718445718522,0.09522094577550888,0.09531249850988388,0.09542236477136612,0.09611206501722336,0.0955169677734375,17.431001502275468,0.09377181529998779,0.09676044434309006,0.10230090469121933,0.10617504268884659,8,0.004410120192915201,0.004693189170211554,0.005245464853942394,0.005651225335896015,0.00029569672131147536,1001.0,-315.5923849610045,32,-0.003692672240140382,3.757572779431939,226.49591326713562
,,294912,0.0018110259230525116,0.09392090141773224,0.09499511867761612,0.09450683742761612,0.09470825642347336,0.09453277587890625,17.431233996152876,0.09296681731939316,0.09570136666297913,0.10223685950040817,0.10789491981267929,9,0.004335307981818914,0.004591086413711309,0.00523815443739295,0.00583545072004199,0.0002950819672131147,1001.0,-317.5857909029555,32,-0.0039240169848199,3.6273649584501984,252.0225613117218
,,327680,0.0019220406595195528,0.10186157375574112,0.102508544921875,0.10299072414636612,0.10272826999425888,0.10252227783203124,17.446665155887604,0.0950939878821373,0.09611909836530685,0.10057926177978516,0.10723055899143219,10,0.0045354352332651615,0.004631243646144867,0.005069836508482695,0.005763484165072441,0.00029446721311475406,1001.0,-318.3259752583574,32,-0.00412597810063744,3.9801615439355373,277.75959491729736
,,360448,0.0019661284106405217,0.10575561970472336,0.10563354939222336,0.10624390095472336,0.10548096150159836,0.10577850341796875,17.42951276898384,0.09299595654010773,0.09569105505943298,0.10180588811635971,0.10827697813510895,11,0.004336976911872625,0.004591012839227915,0.005195231642574072,0.0058767772279679775,0.0002938524590163934,1001.0,-326.9929905793533,32,-0.0041023176603630414,3.6422910265624524,304.9926760196686
