eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.014724803873104975,0.20986328125,17.52900896072388,1,0.0003,1000.0,-361.2994394240508,2,-0.04222067144874018,21.39719361662865,2.0921099185943604
,,4096,0.016160391582525337,0.23271484375,17.395469468832015,2,0.0002993852459016393,1024.0,-340.0248572159861,2,-0.05372371957055293,20.897324177622796,4.1377646923065186
,,6144,0.02405777219682932,0.30771484375,17.36507186293602,3,0.00029877049180327867,1024.0,-293.5189299435639,2,-0.06020909075450618,13.931021304428578,6.156718969345093
,,8192,0.026608337395009583,0.333251953125,17.480129438638688,4,0.000298155737704918,1024.0,-321.9410143859773,2,-0.0645463629742153,15.561743721365929,8.277095794677734
,,10240,0.023523980999016203,0.30498046875,17.491265934705734,5,0.00029754098360655737,1024.0,-370.5642494653922,2,-0.06600463551294525,19.827817669510843,10.40202784538269
-246.81307297600256,45.08008168801531,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.891371011734009
nan,nan,12288,0.047640537790721284,0.4607421875,17.50725554227829,6,0.0002969262295081967,1024.0,-320.6619204281203,2,-0.06992775549879297,7.421811367571354,16.29254388809204
nan,nan,14336,0.04560543865663931,0.434130859375,17.594792783260345,7,0.00029631147540983607,1024.0,-261.81829203727455,2,-0.06813576883723726,8.32145164385438,18.578723907470703
nan,nan,16384,0.050581435367348604,0.46142578125,17.334055143594743,8,0.00029569672131147536,1024.0,-277.93906985104195,2,-0.07119192783138714,7.832959494739771,20.738141775131226
nan,nan,18432,0.030661584372865036,0.3724609375,17.447944366931914,9,0.0002950819672131147,1024.0,-270.5874366407926,2,-0.07555160718329716,12.364124969393014,22.821954011917114
nan,nan,20480,0.030417521190247498,0.36572265625,17.426473885774612,10,0.00029446721311475406,1024.0,-351.09767329055137,2,-0.06817408957285806,17.11893526613712,24.907334804534912
-254.03547717589055,58.51042765098753,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.27675175666809
nan,nan,22528,0.04906429530237801,0.44501953125,17.399137395620347,11,0.0002938524590163934,1024.0,-276.4439125530307,2,-0.07266658622538671,10.474587839841842,30.36208200454712
nan,nan,24576,0.0388036095246207,0.415185546875,17.485258769989013,12,0.00029323770491803276,1024.0,-280.1025734328623,2,-0.07242294614843559,13.895200398564338,32.47545599937439
nan,nan,26624,0.04584778042626567,0.438232421875,17.52544785141945,13,0.0002926229508196721,1024.0,-355.37463410191344,2,-0.07213136063073762,12.938102239370346,34.60849976539612
nan,nan,28672,0.04279218368756119,0.42958984375,17.404177379608154,14,0.00029200819672131145,1024.0,-343.0294780693233,2,-0.06779014448111412,14.767181195318699,36.71530890464783
nan,nan,30720,0.06736139907443431,0.511083984375,17.51737643480301,15,0.0002913934426229508,1024.0,-374.303169601347,2,-0.07005390208796598,12.580005294084549,38.8421790599823
-212.0601311284385,48.74086621083617,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.24474287033081
nan,nan,32768,0.08327576300653164,0.5423828125,17.37175077199936,16,0.00029077868852459015,1024.0,-354.0926507131494,2,-0.0711720557505032,9.767527590692044,44.34024786949158
nan,nan,34816,0.07866143333958461,0.5525390625,17.484576684236526,17,0.00029016393442622945,1024.0,-318.35547736197094,2,-0.07218379779660608,9.948035749793053,46.42972373962402
nan,nan,36864,0.04177940217778087,0.42431640625,17.63651783466339,18,0.00028954918032786885,1024.0,-350.8214634749852,2,-0.07662785523571074,17.904833801090717,48.52816987037659
nan,nan,38912,0.1444337719673058,0.62255859375,17.575808721780778,19,0.0002889344262295082,1024.0,-297.1344483034863,2,-0.05971906436025165,8.343633654713631,50.644537687301636
nan,nan,40960,0.047174827370326966,0.442138671875,17.48238365650177,20,0.00028831967213114755,1024.0,-394.54913969525467,2,-0.07242784158734139,16.283402045071124,52.72635102272034
-192.70596989077407,57.5929261308419,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56.16711378097534
nan,nan,43008,0.07095451397181023,0.518359375,17.426953262090684,21,0.00028770491803278684,1024.0,-301.57795795777326,2,-0.07438023308932315,10.397300073504448,58.24505090713501
nan,nan,45056,0.11164930390077643,0.61494140625,17.427218502759935,22,0.0002870901639344262,1024.0,-298.19880456386727,2,-0.06704156104242429,7.079623167961836,60.2901177406311
nan,nan,47104,0.04205366218229756,0.430615234375,17.472033014893533,23,0.00028647540983606554,1024.0,-216.90756847032054,2,-0.07950089919904713,13.411050887405873,62.35376000404358
nan,nan,49152,0.0639599805668695,0.508056640625,17.39415625333786,24,0.0002858606557377049,1024.0,-267.4685223112109,2,-0.07869402130017988,10.770087464153766,64.4270887374878
nan,nan,51200,0.0685204376175534,0.5123046875,17.44967166185379,25,0.00028524590163934424,1024.0,-255.86179301763548,2,-0.07355165190529078,10.028263096511363,66.48556184768677
-165.02445823423642,64.01965024134809,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.94974303245544
nan,nan,53248,0.04898552872473374,0.459423828125,17.432718628644942,26,0.0002846311475409836,1024.0,-301.7104903212306,2,-0.0750779930211138,14.710785992443562,72.08842992782593
nan,nan,55296,0.03964109953667503,0.421484375,17.421475106477736,27,0.00028401639344262294,1024.0,-289.72107341870185,2,-0.07730099858890753,20.08996944129467,74.22757768630981
nan,nan,57344,0.08037436435406561,0.551123046875,17.42197068929672,28,0.0002834016393442623,1024.0,-199.99142369250015,2,-0.07692816615162883,9.664378203451633,76.32600808143616
nan,nan,59392,0.08626178037084173,0.5638671875,17.542858731746673,29,0.00028278688524590163,1024.0,-334.38028717160773,2,-0.076011381126591,12.331820072233677,78.4768717288971
nan,nan,61440,0.12014053578022868,0.600634765625,17.498098075389862,30,0.00028217213114754093,1024.0,-243.3887658784509,2,-0.070804904391116,9.588368801772594,80.6112289428711
-156.46073785087546,39.874257582011914,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.02841901779175
nan,nan,63488,0.16647409770812374,0.67275390625,17.786586350202562,31,0.0002815573770491803,1024.0,-245.20014395644347,2,-0.06290296764927916,6.722471214085817,86.13970303535461
nan,nan,65536,0.09418589415436145,0.565869140625,17.4283700466156,32,0.0002809426229508196,1024.0,-172.4092419737671,2,-0.07520387112163007,8.925075048953294,88.30027890205383
nan,nan,67584,0.07109456536127254,0.5318359375,17.392758053541183,33,0.00028032786885245903,1024.0,-224.8825344508719,2,-0.08503073277242948,11.046486912667751,90.40497589111328
nan,nan,69632,0.05356067374232225,0.489794921875,17.429053965210915,34,0.0002797131147540983,1024.0,-363.3388743552149,2,-0.081088898415328,15.763811865448952,92.51407790184021
nan,nan,71680,0.034342379271402025,0.40576171875,17.381854391098024,35,0.00027909836065573767,1024.0,-357.23413952579983,2,-0.08129996279458282,26.195416006445885,94.59834599494934
-111.5120129708276,40.86553609242235,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.04422283172607
nan,nan,73728,0.08001451690797694,0.535693359375,17.555769234895706,36,0.000278483606557377,1024.0,-282.2253696360284,2,-0.07008566306030843,13.095744539797305,100.7568588256836
nan,nan,75776,0.14775530929036904,0.6306640625,17.652745306491852,37,0.00027786885245901637,1024.0,-231.13293332894466,2,-0.0650906625407515,9.805122794955969,103.53276896476746
nan,nan,77824,0.09898901109991129,0.587255859375,17.47407782673836,38,0.0002772540983606557,1024.0,-200.18085433227478,2,-0.07448542100610211,11.088055845350027,105.97690010070801
nan,nan,79872,0.09462901857914403,0.595458984375,17.426223826408386,39,0.00027663934426229507,1024.0,-229.18575044974543,2,-0.07659152534615714,12.647064401209354,108.25479388237
nan,nan,81920,0.15479889271664432,0.6708984375,17.520755833387376,40,0.0002760245901639344,1024.0,-309.45106007011293,2,-0.06912559982738457,8.657932271063327,110.48164486885071
-129.90838267740477,46.343235948268294,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114.05454993247986
nan,nan,83968,0.09478068558964878,0.57861328125,17.54198585152626,41,0.00027540983606557377,1024.0,-199.37597445706749,2,-0.07956572335970122,10.373402227461337,116.18231391906738
nan,nan,86016,0.26233464377583005,0.72568359375,17.61223824620247,42,0.0002747950819672131,1024.0,-190.54598556786993,2,-0.05401298500073608,4.308513858169317,118.27032494544983
nan,nan,88064,0.045892802393063904,0.440966796875,17.35578410625458,43,0.0002741803278688524,1024.0,-280.70178197905926,2,-0.07029832874541171,15.523845422267915,120.37968468666077
nan,nan,90112,0.11871922002464999,0.6171875,17.406047135591507,44,0.00027356557377049176,1024.0,-252.7720998402441,2,-0.0771696737530874,7.555152101069689,122.48155784606934
-97.23038445922421,64.28033582579417,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125.88900089263916
nan,nan,92160,0.055757032067049295,0.483056640625,17.617648422718048,45,0.0002729508196721311,1024.0,-150.67842749678005,2,-0.07970611944183474,10.899971315264702,127.95203399658203
nan,nan,94208,0.046688957681180907,0.44794921875,17.49444924592972,46,0.00027233606557377046,1024.0,-296.51399461029877,2,-0.07572697548312135,14.493070252239704,130.02903294563293
nan,nan,96256,0.062051399875781496,0.489501953125,17.437031435966492,47,0.0002717213114754098,1024.0,-244.89796868803012,2,-0.07984946922806557,13.269767872989178,132.2086100578308
nan,nan,98304,0.16988258657802363,0.64384765625,17.484553521871568,48,0.00027110655737704915,1024.0,-195.08416884675114,2,-0.06744486094394234,6.746389102190733,134.36176586151123
nan,nan,100352,0.0664390731632011,0.490380859375,17.42313120365143,49,0.0002704918032786885,1024.0,-207.2742243753898,2,-0.07283915424923179,11.994607317447663,136.42141485214233
-62.67960696142724,48.20655814590068,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139.815691947937
nan,nan,102400,0.09570105088932905,0.577392578125,17.41183134317398,50,0.00026987704918032785,1024.0,-248.41993384032162,2,-0.06786552666453645,10.060500951111317,141.86509799957275
nan,nan,104448,0.14871503462491092,0.632568359375,17.536389851570128,51,0.00026926229508196715,1024.0,-128.20262035120754,2,-0.0667245709017152,6.914662043750286,144.00424695014954
nan,nan,106496,0.20780522607383317,0.69697265625,17.632928049564363,52,0.00026864754098360655,1024.0,-170.85507548378587,2,-0.06929184688196983,5.603612135350704,146.18532609939575
nan,nan,108544,0.17501012246939354,0.6810546875,17.543004262447358,53,0.0002680327868852459,1024.0,-165.43742332033491,2,-0.07364045909489506,5.530172401666642,148.26841592788696
nan,nan,110592,0.13216318918566686,0.644873046875,17.517915880680086,54,0.00026741803278688525,1024.0,-201.42645298083812,2,-0.08003756815742236,5.529158672690391,150.28813481330872
-63.78671813338864,42.4363551778642,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,153.65966367721558
nan,nan,112640,0.04102907524793409,0.424462890625,17.479327768087387,55,0.0002668032786885246,1024.0,-275.2854908951773,2,-0.07522150757722557,13.188427735865115,155.6624310016632
nan,nan,114688,0.05867028016946278,0.495654296875,17.35762768983841,56,0.0002661885245901639,1024.0,-216.78172593983234,2,-0.08095767901395448,9.083479540795087,157.75660800933838
nan,nan,116736,0.06411407977866475,0.52275390625,17.386101871728897,57,0.00026557377049180324,1024.0,-143.21066597173572,2,-0.08168925365316682,11.37756786942482,159.8697109222412
nan,nan,118784,0.0703260028414661,0.52138671875,17.55597316622734,58,0.0002649590163934426,1024.0,-247.04158660717457,2,-0.0818317923869472,12.251439236104488,162.02958369255066
nan,nan,120832,0.1633233369764639,0.669677734375,17.3971916615963,59,0.00026434426229508194,1024.0,-126.85268792141174,2,-0.08426300778519362,5.824777795374393,164.04515886306763
-79.9628762642541,60.54028313262081,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,167.45066475868225
nan,nan,122880,0.0905693220498506,0.554638671875,17.48267905116081,60,0.0002637295081967213,1024.0,-230.27348536451473,2,-0.0745216602954315,9.656433584541082,169.43623805046082
nan,nan,124928,0.18244795920036266,0.679150390625,17.537457370758055,61,0.00026311475409836063,1024.0,-208.38826479759967,2,-0.07819038855377584,5.543202218413353,171.46191477775574
nan,nan,126976,0.1119668551516952,0.60078125,17.3899812489748,62,0.0002625,1024.0,-174.29034049246195,2,-0.0858291042241035,8.002791694551707,173.52195596694946
nan,nan,129024,0.14266931421007029,0.643408203125,17.53368803858757,63,0.00026188524590163933,1024.0,-106.09930948223331,2,-0.08346750107884873,7.184057038277388,175.7008979320526
nan,nan,131072,0.16210768142773305,0.6501953125,17.658242845535277,64,0.0002612704918032787,1024.0,-108.80638234624642,2,-0.08350610986235552,6.604362978041172,177.76702785491943
-42.22202767606895,73.50394770159917,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,181.21817088127136
nan,nan,133120,0.07479318829427939,0.538134765625,17.42397314310074,65,0.000260655737704918,1024.0,-82.22758011062942,2,-0.07959812887711451,9.06768250092864,183.26723384857178
nan,nan,135168,0.1816813335637562,0.67275390625,17.51264207959175,66,0.0002600409836065573,1024.0,-126.85323074117247,2,-0.07879261988273356,5.227888859808445,186.15110397338867
nan,nan,137216,0.08418391671148129,0.557470703125,17.41979823708534,67,0.00025942622950819673,1024.0,-142.02921551173006,2,-0.08472633782657794,10.614297519624234,188.71226692199707
nan,nan,139264,0.08611587088962551,0.585595703125,17.38705592751503,68,0.000258811475409836,1024.0,-153.74710777056256,2,-0.08865844234533142,9.862813018262386,191.32846593856812
nan,nan,141312,0.11214346402266528,0.615380859375,17.421523624658583,69,0.00025819672131147537,1024.0,-137.7458648579575,2,-0.0836755845186417,8.76582443267107,193.9603350162506
21.362108813384275,54.04860372557766,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,197.73942875862122
nan,nan,143360,0.10474680159823038,0.60400390625,17.337097012996672,70,0.0002575819672131147,1024.0,-58.08450749751327,2,-0.07846015693212394,9.274458420276641,200.117614030838
nan,nan,145408,0.19862829070771112,0.709716796875,17.57044251561165,71,0.00025696721311475407,1024.0,-113.72874607990657,2,-0.08385530879895668,6.824099364876747,202.65020990371704
nan,nan,147456,0.05904917423613369,0.5037109375,17.419829154014586,72,0.0002563524590163934,1024.0,-151.97161988318797,2,-0.07763835869554896,13.984031282365322,205.50321793556213
nan,nan,149504,0.13807099603000098,0.627294921875,17.5541434943676,73,0.00025573770491803277,1024.0,-76.06275348695574,2,-0.08339592857810203,7.625029356777668,208.00377583503723
nan,nan,151552,0.07036086736770812,0.5478515625,17.466887378692626,74,0.0002551229508196721,1024.0,-186.26633745731039,2,-0.08827706011652481,15.505887545645237,210.10994791984558
16.547493701927774,67.5316616601704,151552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,213.79181265830994
nan,nan,153600,0.22078926880203653,0.707958984375,17.665468430519105,75,0.00025450819672131146,1024.0,-56.219805750589884,2,-0.07247615433007012,6.006375098228455,216.07467103004456
nan,nan,155648,0.173744460529997,0.69130859375,17.512799662351608,76,0.0002538934426229508,1024.0,-80.35966351424624,2,-0.08755855681083631,7.327504109591246,218.7795467376709
nan,nan,157696,0.14216190326551442,0.664404296875,17.441655617952346,77,0.0002532786885245901,1024.0,-49.69259324648355,2,-0.09139901117887347,7.575667697191238,222.13764190673828
nan,nan,159744,0.1353627659729682,0.655859375,17.542164301872255,78,0.00025266393442622946,1024.0,-66.48420085608134,2,-0.0879436621646164,6.900379909574985,224.78945398330688
nan,nan,161792,0.10310156694904435,0.60419921875,17.4463122010231,79,0.0002520491803278688,1024.0,-55.0862513247791,2,-0.09128615040681325,8.575129532814026,227.5386197566986
95.89115814331727,34.15205618419284,161792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,231.4824550151825
nan,nan,163840,0.1720871060329955,0.665869140625,17.601212793588637,80,0.00025143442622950816,1024.0,-105.49177339731922,2,-0.08156852704414633,7.256366115063429,233.60926389694214
nan,nan,165888,0.04773145132348873,0.47294921875,17.351661843061446,81,0.00025081967213114756,1024.0,-173.10301438825667,2,-0.08158818088122644,17.92868086695671,235.91862607002258
nan,nan,167936,0.07052955872786697,0.52783203125,17.463622546195985,82,0.0002502049180327869,1024.0,-62.41510358741684,2,-0.07650330508913612,12.905034962296487,238.60820293426514
nan,nan,169984,0.05803581272484735,0.479541015625,17.508147764205933,83,0.0002495901639344262,1024.0,-104.72485345297908,2,-0.07878157941740938,16.467427669465543,240.77170872688293
nan,nan,172032,0.1629350792558398,0.65302734375,17.611509215831756,84,0.00024897540983606555,1024.0,-84.4628578236763,2,-0.07652989625930787,9.542010103166103,242.85895705223083
91.13289016475314,37.73034141480114,172032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,246.30350303649902
nan,nan,174080,0.1492947734775953,0.66416015625,17.427811908721925,85,0.0002483606557377049,1024.0,-28.310175743659112,2,-0.08285746521723922,9.003745460510254,248.29534673690796
