eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.01416750849748496,0.198388671875,18.1869057059288,1,0.0003,1000.0,-327.337720539849,2,-0.040060141566209496,17.70792537331581,3.2221431732177734
,,4096,0.015131902930443175,0.2162109375,18.159703290462495,2,0.0002993852459016393,1024.0,-457.3166064827743,2,-0.05011450549791334,16.617061972618103,6.455331802368164
,,6144,0.023477363752317616,0.31552734375,18.17673051953316,3,0.00029877049180327867,1024.0,-373.38838812237105,2,-0.0615375459427014,10.599259002506733,9.753708124160767
,,8192,0.02168538790429011,0.28935546875,18.20957879424095,4,0.000298155737704918,1024.0,-330.3028906952959,2,-0.06224867221899331,16.030568844079973,13.041543006896973
,,10240,0.021172887060674838,0.2958984375,18.17613697052002,5,0.00029754098360655737,1024.0,-323.8981031427271,2,-0.06448932659986895,19.665400126576422,16.340906143188477
-228.56135871513575,76.35799255031662,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.532149076461792
nan,nan,12288,0.03238628568069544,0.375439453125,18.247147154808044,6,0.0002969262295081967,1024.0,-391.06966037668917,2,-0.06676701221149414,11.707086661458016,25.832277059555054
nan,nan,14336,0.04390993899432942,0.4443359375,18.36480083465576,7,0.00029631147540983607,1024.0,-287.9502100973705,2,-0.06690669329836965,8.3137226074934,29.211385011672974
nan,nan,16384,0.03577708422380965,0.389404296875,18.20527617931366,8,0.00029569672131147536,1024.0,-362.34524129242016,2,-0.06823193893651477,11.452397672832012,32.61217284202576
nan,nan,18432,0.02655913638009224,0.339990234375,18.291506814956666,9,0.0002950819672131147,1024.0,-273.5212623832605,2,-0.06761852197814733,17.894104772806166,36.03358197212219
nan,nan,20480,0.024876614127424545,0.318603515625,18.353435271978377,10,0.00029446721311475406,1024.0,-381.29895771237557,2,-0.06987086659937632,20.255883955955504,39.42699193954468
-207.1619790570162,54.49593855964208,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.728158950805664
nan,nan,22528,0.02544905532267876,0.3328125,18.261078971624375,11,0.0002938524590163934,1024.0,-260.884015583704,2,-0.07326164428377524,23.815087646245956,49.13722801208496
nan,nan,24576,0.059647195957950316,0.5140625,18.190018236637115,12,0.00029323770491803276,1024.0,-328.8748842630408,2,-0.06961474589479621,11.301878878474236,52.47936487197876
nan,nan,26624,0.053384140506386756,0.48779296875,18.204085862636568,13,0.0002926229508196721,1024.0,-281.4196136859997,2,-0.0702763664390659,9.19849254116416,55.84775686264038
nan,nan,28672,0.04651573347800877,0.46064453125,18.07130933403969,14,0.00029200819672131145,1024.0,-235.95723938119477,2,-0.07623123168305028,12.221376626193523,59.17067813873291
nan,nan,30720,0.034355485142441466,0.387939453125,18.187553375959396,15,0.0002913934426229508,1024.0,-302.2890899627346,2,-0.0762034425890306,16.085978536307813,62.476961851119995
-180.8192507765338,37.788204660144665,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,68.84434700012207
nan,nan,32768,0.06770255485607776,0.53779296875,18.23533633351326,16,0.00029077868852459015,1024.0,-256.56504713080557,2,-0.07307849260105286,9.727684672176839,72.12759208679199
nan,nan,34816,0.0723279073019512,0.545361328125,18.298636555671692,17,0.00029016393442622945,1024.0,-291.8473384999687,2,-0.07123244593822164,6.938038375973702,75.51092195510864
nan,nan,36864,0.042260257023735905,0.437841796875,18.172149354219435,18,0.00028954918032786885,1024.0,-330.08092003524985,2,-0.07681676371430513,13.011332337558269,79.2614758014679
nan,nan,38912,0.04178998812858481,0.437109375,18.419783580303193,19,0.0002889344262295082,1024.0,-184.99119702087967,2,-0.07824043178115972,12.886603252589703,83.17435193061829
nan,nan,40960,0.06927039222500753,0.531494140625,18.154358357191086,20,0.00028831967213114755,1024.0,-287.2576506841667,2,-0.07134839421632932,9.42637189105153,86.71706700325012
-129.03549532136148,64.44787148946422,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.97538685798645
nan,nan,43008,0.050044608183088715,0.47421875,18.28502025604248,21,0.00028770491803278684,1024.0,-195.79565793716057,2,-0.08291159291693476,12.54254704117775,96.41000199317932
nan,nan,45056,0.05478926931100432,0.48681640625,18.216078674793245,22,0.0002870901639344262,1024.0,-271.8582502106966,2,-0.07360226221499033,11.382144787162542,100.06271076202393
nan,nan,47104,0.07748247903946322,0.556982421875,18.053311997652052,23,0.00028647540983606554,1024.0,-266.22989852959773,2,-0.07975750874174992,8.610519168525935,103.52888989448547
nan,nan,49152,0.054467956122243776,0.48818359375,18.209664165973663,24,0.0002858606557377049,1024.0,-238.69866015435684,2,-0.07950011389912107,11.71951283812523,106.90565800666809
nan,nan,51200,0.11378714316233526,0.60751953125,18.349830985069275,25,0.00028524590163934424,1024.0,-281.1114386947686,2,-0.07103821593627799,6.972305388003588,110.32308888435364
-145.59388594952128,60.00701982906952,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,116.57332801818848
nan,nan,53248,0.04618070195720066,0.4634765625,18.189862835407258,26,0.0002846311475409836,1024.0,-221.6230381828161,2,-0.07830498550174525,14.40114477276802,119.77660298347473
nan,nan,55296,0.04715786989545449,0.4658203125,18.228809851408005,27,0.00028401639344262294,1024.0,-303.02476778513045,2,-0.08587261751235928,14.573094472289085,123.25500988960266
nan,nan,57344,0.10063459765806329,0.596923828125,18.26882745027542,28,0.0002834016393442623,1024.0,-243.5742077397901,2,-0.07433238410012563,7.572605678439141,126.80244421958923
nan,nan,59392,0.05012178842152935,0.475244140625,18.35011577606201,29,0.00028278688524590163,1024.0,-300.77391398575696,2,-0.08337097415933385,14.634227880835533,130.25620698928833
